Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
0,0.655273,0,1.64276,-119.647,1.23197e-07,0,0,0,0,0,0,1,0,0,1,0.657103,-0.437763,-0.000320572,-0.00328803,0,0.00330362,1.14476,2.03538
1,0.641409,0,1.60057,95.7831,1.22769e-07,0,0,0,0,0,0,0.992739,0.00151925,0,0.99274,0.640229,-0.471511,-8.51428e-06,1.75837e-06,0,8.69396e-06,1.13947,0.0680053
2,0.619555,0,1.54145,33.7629,1.22495e-07,0,0,0,0,0,0,0.985523,0.00298981,0,0.985527,0.616581,-0.518807,-0.000440597,8.89689e-05,0,0.00044949,1.13609,0.481655
3,0.610386,0,1.51835,32.2493,1.22478e-07,0,0,0,0,0,0,0.978353,0.00442412,0,0.978363,0.607342,-0.537286,-0.000445753,8.8441e-05,0,0.000454442,1.13588,0.480772
4,0.580807,0,1.44635,42.0615,1.22578e-07,0,0,0,0,0,0,0.971231,0.0058254,0,0.971249,0.578541,-0.594888,-0.000282582,5.51834e-05,0,0.00028792,1.13712,0.372986
5,0.51857,0,1.29095,46.356,1.22549e-07,0,0,0,0,0,0,0.964156,0.00719657,0,0.964183,0.516379,-0.71921,0.000284214,-5.46861e-05,0,0.000289427,1.13675,0.353443
6,0.44169,0,1.09634,-116.894,1.22278e-07,0,0,0,0,0,0,0.957129,0.00853886,0,0.957167,0.438534,-0.874901,0.00137535,-0.000260962,0,0.00139989,1.13342,0.718971
7,0.39698,0,0.980907,-426.344,1.21862e-07,0,0,0,0,0,0,0.950149,0.00985441,0,0.9502,0.392363,-0.967244,0.00235167,-0.000440581,0,0.00239258,1.1283,0.894139
8,0.383688,0,0.944429,-580.574,1.2151e-07,0,0,0,0,0,0,0.943216,0.0111454,0,0.943282,0.377772,-0.996426,0.00290248,-0.000537279,0,0.00295179,1.12397,0.97921
9,0.38316,0,0.941318,-584.791,1.21333e-07,0,0,0,0,0,0,0.936331,0.0124123,0,0.936413,0.376527,-0.998915,0.00309103,-0.000565358,0,0.00314231,1.12181,1.01109
10,0.385977,0,0.947747,-556.001,1.21286e-07,0,0,0,0,0,0,0.929492,0.0136555,0,0.929593,0.379099,-0.993772,0.00312846,-0.000565446,0,0.00317915,1.12123,1.02113
11,0.388311,0,0.953573,-540.981,1.21295e-07,0,0,0,0,0,0,0.9227,0.0148758,0,0.92282,0.381429,-0.989111,0.00312484,-0.000558296,0,0.00317432,1.12134,1.02336
