Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
0,0.986209,0,3.46244,-25.891,1.20032e-07,0,0,0,0,0,0,1,0,0,1,1.38498,0.230272,-0.000173637,-0.00178096,0,0.0017894,1.10592,1.88617
1,0.982555,0,3.43567,-106.668,1.19664e-07,0,0,0,0,0,0,0.992739,0.00151925,0,0.99274,1.37427,0.20885,0.000800029,-0.000165222,0,0.000816912,1.10145,0.837064
2,0.97463,0,3.39911,9.65003,1.19428e-07,0,0,0,0,0,0,0.985523,0.00298981,0,0.985527,1.35964,0.179602,0.000558859,-0.000112849,0,0.000570139,1.09859,0.697844
3,0.969816,0,3.37828,58.9875,1.1932e-07,0,0,0,0,0,0,0.978353,0.00442412,0,0.978363,1.35131,0.162943,0.000580062,-0.000115089,0,0.00059137,1.09728,0.709603
4,0.964264,0,3.35753,80.1888,1.19282e-07,0,0,0,0,0,0,0.971231,0.0058254,0,0.971249,1.34301,0.14634,0.000651449,-0.000127217,0,0.000663754,1.09682,0.749862
5,0.957949,0,3.33501,88.9474,1.19268e-07,0,0,0,0,0,0,0.964156,0.00719657,0,0.964183,1.334,0.128325,0.000725632,-0.00013962,0,0.000738943,1.09664,0.788694
6,0.95207,0,3.31415,92.445,1.19257e-07,0,0,0,0,0,0,0.957129,0.00853886,0,0.957167,1.32566,0.11164,0.000799646,-0.000151726,0,0.000813913,1.09651,0.825266
7,0.946231,0,3.29343,93.6236,1.19246e-07,0,0,0,0,0,0,0.950149,0.00985441,0,0.9502,1.31737,0.0950617,0.000871353,-0.000163247,0,0.000886513,1.09638,0.85872
8,0.940582,0,3.27338,93.7819,1.19236e-07,0,0,0,0,0,0,0.943216,0.0111454,0,0.943282,1.30935,0.0790204,0.000941108,-0.000174209,0,0.000957096,1.09625,0.889663
9,0.935034,0,3.25372,93.2096,1.19226e-07,0,0,0,0,0,0,0.936331,0.0124123,0,0.936413,1.30149,0.0632971,0.00100799,-0.000184364,0,0.00102471,1.09613,0.917908
10,0.929634,0,3.23463,92.0774,1.19217e-07,0,0,0,0,0,0,0.929492,0.0136555,0,0.929593,1.29385,0.0480218,0.00107193,-0.000193743,0,0.0010893,1.09603,0.943723
11,0.92436,0,3.21601,90.4707,1.1921e-07,0,0,0,0,0,0,0.9227,0.0148758,0,0.92282,1.2864,0.0331232,0.00113275,-0.000202382,0,0.00115069,1.09594,0.967258
12,0.919208,0,3.19784,88.4698,1.19203e-07,0,0,0,0,0,0,0.915955,0.0160741,0,0.916096,1.27914,0.0185894,0.00119069,-0.000210375,0,0.00120914,1.09586,0.98881
13,0.914168,0,3.18008,86.1252,1.19196e-07,0,0,0,0,0,0,0.909257,0.0172512,0,0.90942,1.27203,0.00438283,0.001246,-0.000217747,0,0.00126488,1.09578,1.00863
14,0.909252,0,3.16277,83.5246,1.19191e-07,0,0,0,0,0,0,0.902604,0.0184074,0,0.902791,1.26511,-0.00946484,0.00129884,-0.000224489,0,0.0013181,1.09571,1.0269
15,0.904453,0,3.14589,80.7439,1.19185e-07,0,0,0,0,0,0,0.895997,0.0195429,0,0.89621,1.25836,-0.0229719,0.00134919,-0.000230648,0,0.00136876,1.09564,1.04373
16,0.899757,0,3.12937,77.8099,1.1918e-07,0,0,0,0,0,0,0.889435,0.0206585,0,0.889675,1.25175,-0.0361825,0.00139716,-0.000236324,0,0.00141701,1.09558,1.05926
17,0.895145,0,3.11317,74.7045,1.19175e-07,0,0,0,0,0,0,0.882919,0.0217549,0,0.883187,1.24527,-0.0491464,0.00144309,-0.000241567,0,0.00146316,1.09552,1.07365
18,0.89062,0,3.09728,71.4392,1.19171e-07,0,0,0,0,0,0,0.876448,0.0228325,0,0.876746,1.23891,-0.061861,0.00148726,-0.000246372,0,0.00150753,1.09546,1.08709
19,0.886182,0,3.0817,68.0601,1.19166e-07,0,0,0,0,0,0,0.870022,0.0238914,0,0.87035,1.23268,-0.074323,0.00152975,-0.000250735,0,0.00155017,1.09541,1.09964
20,0.881829,0,3.06643,64.6151,1.19162e-07,0,0,0,0,0,0,0.86364,0.0249318,0,0.864,1.22657,-0.0865397,0.00157057,-0.000254702,0,0.00159109,1.09537,1.11136
21,0.877548,0,3.05142,61.1094,1.19159e-07,0,0,0,0,0,0,0.857303,0.0259541,0,0.857696,1.22057,-0.0985494,0.00160979,-0.000258335,0,0.00163038,1.09532,1.1223
22,0.87333,0,3.03663,57.5286,1.19155e-07,0,0,0,0,0,0,0.851009,0.0269588,0,0.851436,1.21465,-0.110377,0.00164764,-0.000261675,0,0.00166829,1.09528,1.13258
23,0.869168,0,3.02205,53.8588,1.19152e-07,0,0,0,0,0,0,0.844759,0.0279463,0,0.845221,1.20882,-0.122045,0.00168435,-0.000264732,0,0.00170502,1.09524,1.14228
24,0.865057,0,3.00765,50.0983,1.19149e-07,0,0,0,0,0,0,0.838553,0.0289166,0,0.839051,1.20306,-0.133562,0.00172007,-0.000267517,0,0.00174075,1.0952,1.15148
25,0.860994,0,2.99343,46.2474,1.19146e-07,0,0,0,0,0,0,0.832389,0.0298701,0,0.832925,1.19737,-0.144941,0.00175489,-0.000270032,0,0.00177554,1.09516,1.16022
