Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
269,0.705385,0,2.17944,-803.344,1.2015e-07,0,0,0,0,0,0,0.111198,0.0402089,0,0.118245,0.871774,-0.488595,0.00467076,0.000770166,0,0.00473383,1.10735,1.7004
270,0.706136,0,2.18179,-805.251,1.20151e-07,0,0,0,0,0,0,0.110013,0.0400127,0,0.117063,0.872718,-0.486708,0.00467534,0.000776552,0,0.0047394,1.10737,1.70229
271,0.706898,0,2.18419,-807.214,1.20153e-07,0,0,0,0,0,0,0.108833,0.0398161,0,0.115888,0.873674,-0.484794,0.00468001,0.000783013,0,0.00474506,1.10739,1.7042
272,0.707671,0,2.18662,-809.118,1.20154e-07,0,0,0,0,0,0,0.107661,0.0396192,0,0.114719,0.874647,-0.48285,0.00468458,0.000789517,0,0.00475065,1.10741,1.70611
273,0.708455,0,2.18908,-810.946,1.20156e-07,0,0,0,0,0,0,0.106494,0.0394219,0,0.113557,0.875631,-0.480881,0.004689,0.000796052,0,0.00475609,1.10743,1.70801
274,0.709244,0,2.19156,-812.731,1.20158e-07,0,0,0,0,0,0,0.105335,0.0392243,0,0.112401,0.876623,-0.478896,0.00469329,0.000802623,0,0.00476142,1.10745,1.70989
275,0.710041,0,2.19406,-814.512,1.2016e-07,0,0,0,0,0,0,0.104181,0.0390263,0,0.111251,0.877625,-0.476893,0.00469752,0.00080924,0,0.00476671,1.10747,1.71178
276,0.710845,0,2.19659,-816.27,1.20161e-07,0,0,0,0,0,0,0.103034,0.0388279,0,0.110107,0.878635,-0.474872,0.00470167,0.000815897,0,0.00477194,1.1075,1.71366
277,0.711657,0,2.19914,-817.985,1.20163e-07,0,0,0,0,0,0,0.101893,0.0386292,0,0.108969,0.879656,-0.47283,0.00470571,0.000822592,0,0.00477707,1.10752,1.71554
278,0.712474,0,2.20171,-819.623,1.20165e-07,0,0,0,0,0,0,0.100758,0.0384301,0,0.107838,0.880684,-0.470776,0.00470961,0.000829313,0,0.00478206,1.10754,1.71739
279,0.713293,0,2.20428,-821.199,1.20167e-07,0,0,0,0,0,0,0.0996288,0.0382306,0,0.106712,0.881713,-0.468717,0.00471336,0.000836061,0,0.00478693,1.10756,1.71923
