"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -4.253904015,       -4.31595024,      -4.165389087,       -3.60887161,     0.09620166804,      0.1744071738,                 0,                 0,                 0,     0.04906794242,     0.08924922966,      0.1780651516,                 0,       1.812932949
          0,           0,          10,      -3.928722259,      -3.907310775,      -4.014309837,      -3.282876175,     0.06407899864,      0.1346387302,                 0,                 0,                 0,   -0.003439196866,     0.05871978356,      0.1370609089,                 0,       2.101136614
          0,           0,          20,      -3.838386849,      -3.800465393,      -3.986700643,      -3.182893639,     0.05620532217,      0.2221737198,                 0,                 0,                 0,     0.01977846597,     0.04740035802,      0.2242173188,                 0,       3.952894693
          0,           0,          30,      -3.903515518,      -3.704826767,      -4.028027244,      -3.211692987,     0.03893242476,      0.3378804848,                 0,                 0,                 0,     0.05654757345,     0.02557809072,      0.3391529404,                 0,        8.67863964
          0,           0,          40,       -4.06846998,      -4.044395017,      -4.186737507,      -3.397267645,     0.02997370976,      0.4696388998,                 0,                 0,                 0,     0.09072410101,     0.01143055462,      0.4704555897,                 0,       15.66836083
          0,           0,          50,      -4.327523081,      -4.329865861,      -4.508642161,      -3.672744345,     0.03773968275,       0.522685257,                 0,                 0,                 0,     0.07251812089,     0.01709864562,      0.5237669309,                 0,       13.84975227
          0,           0,          60,      -4.572549312,      -4.685447781,      -4.782561724,       -3.93118812,     0.04321116262,      0.4879273557,                 0,                 0,                 0,     0.03151610107,      0.0239365201,      0.4892518288,                 0,       11.29169701
          0,           0,          70,      -4.833518122,      -4.852050875,       -5.03516612,       -4.17964137,     0.04278436915,      0.4368201744,                 0,                 0,                 0,     0.01122487756,     0.02552543011,        0.43816757,                 0,       10.20980753
          0,           0,          80,      -4.916884699,      -4.973732675,      -5.170081327,      -4.258895925,      0.0399108395,      0.4025634856,                 0,                 0,                 0,     0.01065451398,     0.02400502116,      0.4038242117,                 0,       10.08657023
          0,           0,          90,      -4.899326146,      -5.104006964,       -5.31589684,      -4.254598342,     0.03542151075,      0.3856801688,                 0,                 0,                 0,     0.01377044074,     0.02018496467,      0.3867769942,                 0,       10.88830376
