Points_x,J-K (NASA)
0.000578035,1.091478924
0.00166185,0.964752907
0.002745665,0.876453488
0.00382948,0.771802326
0.00816474,0.706395349
0.015028902,0.457957849
0.01900289,0.353924419
0.02550578,0.24909157
0.033092486,0.163517442
0.041763006,0.083393895
0.050433526,0.011446221
0.060187861,-0.072601744
0.069942197,-0.14634811
0.091257225,-0.246729651
0.116546243,-0.325072674
0.145086705,-0.394077035
0.170736994,-0.442042151
0.198374277,-0.482376453
0.219725434,-0.502325581
0.243569364,-0.521293605
0.266112717,-0.529796512
0.286163295,-0.53306686
0.31199422,-0.518350291
0.333851156,-0.4921875
0.360187861,-0.463081395
0.38533237,-0.438226744
0.407875723,-0.415334302
0.433020231,-0.39244186
0.455563584,-0.370857558
0.478901734,-0.3515625
0.503251445,-0.332921512
0.519725434,-0.31940407
0.556213873,-0.288335756
0.579552023,-0.265552326
0.601372832,-0.247819767
0.627745665,-0.229469477
0.663656069,-0.208648256
0.685549133,-0.189680233
0.709393064,-0.176598837
0.745881503,-0.152616279
0.77333815,-0.127543605
0.797182081,-0.108813425
0.830780347,-0.078488372
0.863023844,-0.049464026
0.879552023,-0.034011628
0.916401734,0.003270349
0.93482659,0.019622093
0.966257225,0.070857558
0.992991329,0.110101744
-0.0000722543352601468,0.8028706395348837
0.0016618497109826547,0.4079760174418605
0.0005780346820808968,0.5134447674418605
0.0005780346820808968,0.585392441860465
0.0005780346820808968,0.65734011627907
-0.0005057803468208055,0.7096656976744184
0.0009393063583815198,0.9276889534883721
0.0005780346820808968,1.0170784883720931
0.00021676300578032937,1.0901162790697674
0.003829479768786115,0.29978197674418583
0.00527456647398844,0.2147529069767442
0.009971098265895928,0.0801235465116279
0.012500000000000011,-0.06673934108527124
0.014667630057803471,-0.1504360465116279
0.017919075144508634,-0.2420058139534884
0.021170520231213852,-0.3128633720930232
0.025505780346820772,-0.39898255813953476
0.03309248554913291,-0.49872819767441856
0.042846820809248565,-0.5893168604651161
0.053684971098265866,-0.6678052325581394
0.06777456647398844,-0.7403252180232557
0.0883670520231214,-0.8155060782241014
0.11221098265895951,-0.8803184460887948
0.13605491329479769,-0.9287790697674417
0.1598988439306358,-0.9620771670190273
0.18374277456647398,-0.9915697674418603
0.2075867052023121,-1.019159619450317
0.23143063583815027,-1.050673890063425
0.25527456647398844,-1.0697013742071881
0.27911849710982656,-1.0860531183932345
0.3029624277456647,-1.1009183403805496
0.3268063583815028,-1.1128105179704015
0.3542630057803468,-1.1266351744186045
0.37882947976878606,-1.1331758720930232
0.4014691714836223,-1.1453488372093021
0.4227239884393063,-1.1487100290697674
0.44277456647398833,-1.1233648255813953
0.4536127167630057,-1.0465116279069766
0.4601156069364161,-0.9729287790697674
0.46445086705202304,-0.9009811046511627
0.4709537572254335,-0.8143168604651162
0.4752890173410404,-0.7521802325581395
0.48179190751445083,-0.6802325581395348
0.4947976878612716,-0.5881177325581395
0.512603220478943,-0.5255917774086378
0.5382707129094411,-0.48364825581395354
0.5609104046242774,-0.4566224563953487
0.58661230388109,-0.41720307308970084
0.615101156069364,-0.38411733615221966
0.6414223781998347,-0.3415178571428572
0.6671242774566473,-0.29760174418604635
0.6897295623451691,-0.262095099667774
0.7151734104046243,-0.2185683139534882
0.7419075144508669,-0.18477470930232553
0.7755057803468208,-0.13408430232558133
0.7982658959537572,-0.11053779069767433
0.8318641618497109,-0.07390988372093021
0.8629335260115607,-0.04869186046511631
0.8795520231213871,-0.03335755813953489
0.9104407514450867,-0.0016351744186045014
0.9337427745664739,0.02102367109634562
0.9593208092485548,0.06148255813953485
0.9857658959537572,0.10247093023255816
1.0009393063583814,0.12754360465116288

