"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          26,      -4.618921049,      -4.211304161,      -4.479861476,      -3.820018519,      -10.87425281,     0.04669831808,      0.6961245739,                 0,                 0,                 0,      0.1015283639,     0.01860224456,      0.6974411171,                 0,       14.90684467,    0.001513014345
          27,      -4.681080811,      -4.275869788,      -4.526661022,      -3.882277274,      -10.90633043,     0.04796866479,      0.6920592441,                 0,                 0,                 0,     0.09662230361,     0.02003541689,      0.6934302937,                 0,       14.42731931,    0.001513014345
          28,      -4.734551144,      -4.347865487,       -4.60354522,      -3.951092181,      -10.93298843,     0.04849185892,      0.6873921251,                 0,                 0,                 0,     0.09287146859,     0.02074629961,      0.6887880553,                 0,       14.17541295,    0.001513014345
          29,      -4.778427511,      -4.423925693,      -4.701660793,      -4.017199427,      -10.95373081,     0.04822832441,      0.6828367757,                 0,                 0,                 0,     0.09040437097,     0.02066658801,      0.6842257856,                 0,       14.15841798,    0.001513014345
          30,      -4.814068728,      -4.497651863,      -4.794594471,      -4.068446507,      -10.96683475,     0.04718121585,      0.6789233485,                 0,                 0,                 0,     0.08922064678,     0.01977806567,      0.6802733336,                 0,       14.38969591,    0.002251977258
          31,      -4.844640379,      -4.563432409,      -4.850989128,      -4.101863728,      -10.97526556,     0.04541289396,      0.6758598783,                 0,                 0,                 0,     0.08910456533,     0.01813465756,      0.6771410785,                 0,        14.8825547,    0.002251977258
          32,      -4.872709017,      -4.620634878,       -4.87410359,      -4.125718409,      -10.97921188,     0.04306142824,      0.6736958825,                 0,                 0,                 0,      0.0897451673,     0.01587232511,      0.6748840626,                 0,       15.64499623,    0.002251977258
          33,      -4.900365088,      -4.673045008,      -4.894142002,      -4.150246561,      -10.97893272,     0.04030562776,      0.6724920886,                 0,                 0,                 0,     0.09087644681,      0.0131672844,      0.6735701712,                 0,       16.68481862,    0.002251977258
          34,      -4.928523507,      -4.724450937,      -4.928593798,      -4.179975626,       -10.9759515,     0.03732069316,      0.6722845911,                 0,                 0,                 0,     0.09229300763,     0.01019313887,      0.6732425309,                 0,       18.01372199,    0.002251977258
          35,      -4.954365195,      -4.774862034,      -4.977375735,      -4.211243172,       -10.9714987,     0.03426476655,      0.6730356955,                 0,                 0,                 0,     0.09382632685,    0.007109421415,      0.6738698523,                 0,        19.6422087,    0.002251977258
