"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,        -4.4094536,      -15.46830489,      -16.00825657,      -4.112944183,      -10.46459905,      0.1892213908,     0.09926128695,                 0,                 0,                 0,     0.02620355311,      0.1845802007,      0.1076461209,                 0,      0.5245775149,    0.001104962882
          0,           0,          10,      -3.986471559,      -4.263484387,      -4.261295919,      -3.679544449,      -10.28870187,       0.148908719,      0.1559566712,                 0,                 0,                 0,     0.05076227832,      0.1417658593,      0.1624768629,                 0,       1.047330688,    0.001187023339
          0,           0,          20,      -3.984447222,      -4.195561515,      -4.244788474,      -3.652629704,       -10.4857705,      0.1197990359,      0.1683825953,                 0,                 0,                 0,      0.0553631547,      0.1121282777,       0.173585013,                 0,       1.405542157,    0.001187023339
          0,           0,          30,      -4.532894254,      -4.771532412,      -4.810351248,      -4.195813852,      -11.13439162,      0.1138642899,       0.169558748,                 0,                 0,                 0,     0.05401522067,      0.1061467625,      0.1744938692,                 0,       1.489130157,    0.001187023339
          0,           0,          40,      -5.208476213,      -5.492079846,      -5.520792262,      -4.872694715,      -11.28383378,      0.1121330444,      0.1711530349,                 0,                 0,                 0,     0.05468503377,      0.1043457705,      0.1760089236,                 0,       1.526338965,    0.001187023339
          0,           0,          50,      -5.549476324,       -5.82540487,      -5.890004133,      -5.214425285,      -10.99097197,      0.1114010497,      0.1713832047,                 0,                 0,                 0,      0.0546612817,      0.1036041913,      0.1762060393,                 0,       1.538434379,    0.001719977389
          0,           0,          60,      -5.926251637,      -5.867734606,      -6.337959617,      -5.603021284,       -10.8587754,       0.110854136,      0.1716790401,                 0,                 0,                 0,     0.05463806979,      0.1030445624,      0.1764770535,                 0,       1.548693141,    0.001719977389
          0,           0,          70,      -6.200592649,      -5.899756793,      -6.591949767,      -5.797829047,      -11.06738504,       0.110420227,      0.1717692634,                 0,                 0,                 0,     0.05458219091,      0.1026070442,      0.1765477297,                 0,          1.555596,    0.001719977389
          0,           0,          80,      -6.334682117,      -6.055284588,      -6.662232529,      -5.906181849,      -11.28912251,      0.1100361112,      0.1717922397,                 0,                 0,                 0,     0.05450960443,      0.1022222846,      0.1765534592,                 0,       1.561235106,    0.001719977389
          0,           0,          90,      -6.450038936,      -6.221059658,      -6.782903252,      -6.047212329,      -11.31848448,      0.1097419122,      0.1717504608,                 0,                 0,                 0,     0.05440296533,      0.1019302548,      0.1764985303,                 0,       1.565039804,    0.001719977389
