"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -4.626583858,      -15.30945103,      -15.58135638,      -3.910230626,      -16.86079932,      0.2650117171,      0.2091706493,      0.2163883259,                 0,                 0,                 0,     0.09154876313,      0.2002788844,      0.2246433542,                 0,       1.034506163,    0.000550879114
           1,      -5.003605994,      -4.845659321,      -4.821319932,      -4.257837675,      -10.42622867,      0.8016408844,      0.2356565591,      0.2292304532,                 0,                 0,                 0,     0.08743224078,      0.2262256539,      0.2385425916,                 0,      0.9727310544,   0.0006087041697
           2,      -4.888843445,      -4.666338019,      -4.757028636,      -4.132573364,      -10.42622712,      0.7953809013,       0.228523064,      0.2171487441,                 0,                 0,                 0,     0.08009565044,      0.2195849233,      0.2261831765,                 0,      0.9502268187,   0.0006087041697
           3,      -4.705131666,      -4.483371162,      -4.553364924,      -3.962770079,      -10.42622294,      0.3617935088,      0.1955019631,      0.2225439552,                 0,                 0,                 0,     0.08333429481,      0.1863731958,      0.2302430487,                 0,       1.138320821,   0.0006087041697
           4,      -4.533262798,      -4.343944606,      -4.395189298,      -3.798597081,      -10.42621782,     0.06398948453,       0.161341555,      0.2422286233,                 0,                 0,                 0,     0.09123396489,      0.1514471334,      0.2485348449,                 0,       1.501340577,   0.0006087041697
           5,      -4.403563161,      -4.256284192,      -4.298498604,      -3.672734012,      -10.42621468,     -0.2893259155,      0.1393993211,       0.271947543,                 0,                 0,                 0,      0.1015699032,      0.1283248741,      0.2773452065,                 0,       1.950852707,   0.0006087041697
           6,      -4.323664412,      -4.208961652,      -4.256945799,      -3.592341648,      -10.42621454,     -0.5214399392,      0.1274384969,      0.3064013979,                 0,                 0,                 0,      0.1127503116,      0.1149850661,      0.3112889681,                 0,       2.404308002,   0.0006087041697
           7,      -4.288332725,      -4.156931309,      -4.259625086,      -3.549258731,      -10.42621597,     -0.5871014918,      0.1207119066,      0.3423042488,                 0,                 0,                 0,      0.1234978826,       0.106816835,      0.3468915204,                 0,       2.835712387,   0.0006087041697
           8,      -4.291385256,      -4.085786664,       -4.29223373,      -3.536646682,      -10.42621653,     -0.6617923614,      0.1153925621,      0.3790565611,                 0,                 0,                 0,      0.1333470201,      0.1000204677,      0.3833995643,                 0,       3.284930625,   0.0006087041697
           9,      -4.320564904,      -4.027702885,      -4.330125581,      -3.548649045,      -10.42621354,     -0.7560971319,      0.1091423084,      0.4164543122,                 0,                 0,                 0,      0.1419898839,     0.09226793249,      0.4205150013,                 0,       3.815700055,   0.0006087041697
