"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "Cauchy[CL]"   
          0,           0,         210,      -5.297780131,      -5.497027961,      -5.823878002,      -4.630145772,      -7.949648265,      -1.550283656,     0.03518330978,      0.3330255199,                 0,                 0,                 0,     0.01034228583,     0.02202334364,      0.3341539084,                 0,       9.465440346,     0.08867652448,     0.01062660791
          0,           0,         220,      -5.269059346,      -5.470777211,      -5.771459242,      -4.602461772,      -7.829720267,      -1.583638611,     0.03736244433,      0.3628689391,                 0,                 0,                 0,     0.02495584126,     0.02302393143,      0.3640600469,                 0,       9.712130607,      0.1172502692,    0.007353367966
          0,           0,         230,      -5.226750454,      -5.423828795,      -5.693294089,      -4.559633232,      -7.692418513,      -1.571116931,     0.04017736681,      0.3992130926,                 0,                 0,                 0,     0.04416452412,     0.02440346126,      0.4004869351,                 0,       9.936268211,      0.1431027049,    0.007571696164
          0,           0,         240,      -5.266534833,      -5.460620972,      -5.687999718,      -4.599990962,      -7.568324184,      -1.579142205,      0.0436190334,      0.4390324154,                 0,                 0,                 0,     0.06599134077,     0.02627220714,      0.4404110046,                 0,       10.06515691,      0.1689551406,     0.00775781547
          0,           0,         250,       -5.34033333,      -5.477549149,      -5.730616147,       -4.67550191,      -7.469764805,      -1.611425226,      0.0473363851,      0.4748371607,                 0,                 0,                 0,     0.08680524809,      0.0285747354,      0.4763344907,                 0,       10.03112425,      0.1934469218,    0.007805271572
          0,           0,         260,      -5.576847471,      -5.482025315,      -5.929798871,      -4.909349272,      -7.418017868,      -1.644547485,     0.05024781422,      0.4924905643,                 0,                 0,                 0,     0.09727275333,     0.03078775184,      0.4940889728,                 0,       9.801233584,      0.2206600121,    0.007557372617
          0,           0,         270,      -5.576139163,      -5.471572561,      -5.742180364,       -4.92148725,      -7.472488522,      -1.546458852,      0.0504250072,      0.4681607514,                 0,                 0,                 0,     0.08042915122,     0.03192423403,      0.4697850719,                 0,       9.284297164,      0.2614796474,    0.007481412774
          0,           0,         280,       -5.13969795,      -5.464684621,      -5.449097478,      -4.484973471,      -7.746014027,      -1.477004607,     0.04676692896,      0.4008724081,                 0,                 0,                 0,      0.0404085907,     0.03092246405,      0.4024048142,                 0,       8.571706911,      0.2995779737,    0.008360836301
          0,           0,         290,      -4.988586959,      -5.423619734,      -5.386128606,      -4.335590666,      -7.761932789,      -1.490221486,     0.04151322101,      0.3307932969,                 0,                 0,                 0,    0.007528859806,     0.02843635723,      0.3321730368,                 0,       7.968384262,      0.3431189181,     0.00952271439
          0,           0,         300,       -5.00892481,      -5.432264468,      -5.452951544,       -4.35708546,      -7.700392926,      -1.561880413,      0.0373550692,      0.2876127786,                 0,                 0,                 0,   -0.006170718388,     0.02598422954,      0.2888621322,                 0,       7.699431022,      0.3798565898,     0.01012703433
          0,           0,         310,      -5.086403453,      -5.555464563,      -5.543856513,      -4.435753504,      -7.742884432,      -1.598412615,     0.03477639617,      0.2660155888,                 0,                 0,                 0,     -0.0109157319,     0.02425923048,      0.2671800534,                 0,       7.649314422,       0.417954916,      0.0101011465
          0,           0,         320,      -5.163869987,      -5.689479292,       -5.66623606,      -4.513214845,      -7.770808837,      -1.674862467,     0.03338156917,      0.2544996959,                 0,                 0,                 0,    -0.01444081728,      0.0233196086,       0.255618114,                 0,       7.623958436,      0.4764630598,    0.009690144167
          0,           0,         330,      -5.278622115,      -5.771660627,      -5.797635694,       -4.62683886,      -7.835793431,      -1.800157242,     0.03236050526,      0.2452876483,                 0,                 0,                 0,    -0.01919959581,     0.02266260875,       0.246372967,                 0,       7.579846061,      0.4778237143,    0.009109512799
          0,           0,         340,      -5.437467926,      -5.860530867,      -5.981174569,      -4.784722086,       -7.91049958,      -1.924228952,     0.03164227855,      0.2387402625,                 0,                 0,                 0,    -0.02253681537,     0.02220313171,      0.2398023513,                 0,       7.544976957,      0.4791843688,    0.008434173607
          0,           0,         350,      -5.629685979,      -5.897044695,      -6.161785941,      -4.974294673,       -7.98257868,      -1.960273667,     0.03114162168,      0.2371350586,                 0,                 0,                 0,    -0.02301364002,     0.02176616422,      0.2381786529,                 0,       7.614730568,      0.4819056779,    0.007731249133
          0,           0,         360,      -5.943373112,      -5.949116847,      -6.299004205,       -5.28760116,      -8.070426846,      -1.967207992,     0.03089520962,      0.2413340563,                 0,                 0,                 0,    -0.02091887166,     0.02135435965,      0.2423646675,                 0,       7.811374621,      0.4873482959,    0.007542373965
          0,           0,         370,      -5.903907396,      -5.955704786,      -6.269980003,      -5.248669376,      -8.156248527,      -2.002020838,     0.03107580157,      0.2504702379,                 0,                 0,                 0,    -0.01745215383,     0.02117453301,      0.2515008641,                 0,       8.059976741,      0.4927909139,    0.007404808022
          0,           0,         380,      -5.650135907,       -5.85299863,       -6.16154661,      -4.987937054,      -8.233081588,      -2.003127815,     0.03160605365,      0.2628762096,                 0,                 0,                 0,     -0.0128781323,      0.0212151529,      0.2639180961,                 0,        8.31727404,      0.4955122229,    0.006322983255
          0,           0,         390,      -5.520320978,      -5.745574793,      -6.068658749,      -4.854604891,      -8.238262973,      -2.003886948,     0.03240374039,      0.2780873002,                 0,                 0,                 0,   -0.006884154435,     0.02141238178,      0.2791488113,                 0,       8.581950629,      0.2968566642,    0.004943827861
          0,           0,         400,      -5.440016908,      -5.668819269,      -6.008969418,      -4.772564103,      -8.165489969,      -2.012044174,     0.03342289583,      0.2952856115,                 0,                 0,                 0,   0.0001849469036,      0.0217525426,      0.2963739348,                 0,       8.834830263,      0.2301845933,    0.004133262314
          0,           0,         410,      -5.399152633,      -5.624457855,      -5.959518995,       -4.73177262,      -8.064820733,      -2.027604793,     0.03465749276,      0.3141087288,                 0,                 0,                 0,    0.008328971443,      0.0222439044,      0.3152310963,                 0,       9.063227135,      0.2165780482,    0.003965573877
          0,           0,         420,      -5.377717477,      -5.607780576,       -5.93132379,      -4.709948181,      -7.974455583,       -2.05289508,     0.03611137417,      0.3342285711,                 0,                 0,                 0,     0.01766943793,     0.02290324478,      0.3353926214,                 0,       9.255493006,      0.2206600118,    0.004140961664
