Points_0,Points_1,Points_2,Pressure_Coefficient
0.33131,0.0606501,0,-0.383276
0.328692,0.0605425,0,-0.381267
0.326093,0.060433,0,-0.379249
0.323512,0.0603216,0,-0.377224
0.320949,0.0602084,0,-0.375193
0.318403,0.0600934,0,-0.373152
0.315875,0.0599766,0,-0.371103
0.313365,0.059858,0,-0.369047
0.310871,0.0597378,0,-0.366986
0.308396,0.059616,0,-0.36492
0.305937,0.0594925,0,-0.362852
0.303495,0.0593675,0,-0.360779
0.30107,0.0592409,0,-0.35871
0.298661,0.0591129,0,-0.35664
0.29627,0.0589834,0,-0.354576
0.293894,0.0588525,0,-0.352515
0.291535,0.0587202,0,-0.350463
0.289192,0.0585866,0,-0.34842
0.286866,0.0584517,0,-0.346393
0.284555,0.0583155,0,-0.344382
0.28226,0.0581781,0,-0.342384
0.27998,0.0580395,0,-0.340394
0.277717,0.0578996,0,-0.338409
0.275468,0.0577586,0,-0.336425
0.273235,0.0576164,0,-0.334441
0.271018,0.0574731,0,-0.332455
0.268815,0.0573286,0,-0.330466
0.266627,0.057183,0,-0.328472
0.264455,0.0570364,0,-0.326475
0.262297,0.0568887,0,-0.324473
0.260153,0.0567399,0,-0.322466
0.258024,0.0565901,0,-0.320454
0.25591,0.0564393,0,-0.318436
0.25381,0.0562875,0,-0.316407
0.251724,0.0561347,0,-0.314374
0.249652,0.055981,0,-0.312334
0.247594,0.0558264,0,-0.310288
0.24555,0.0556708,0,-0.308235
0.24352,0.0555143,0,-0.306173
0.241503,0.055357,0,-0.304105
0.2395,0.0551988,0,-0.302029
0.237511,0.0550398,0,-0.299948
0.235534,0.05488,0,-0.297859
0.233571,0.0547193,0,-0.295767
0.231621,0.0545579,0,-0.293669
0.229684,0.0543957,0,-0.291568
0.22776,0.0542328,0,-0.289463
0.225849,0.0540692,0,-0.287359
0.22395,0.0539048,0,-0.285254
0.222064,0.0537398,0,-0.283154
0.220191,0.0535741,0,-0.281057
0.21833,0.0534077,0,-0.278962
0.216481,0.0532407,0,-0.276865
0.214645,0.053073,0,-0.274767
0.21282,0.0529047,0,-0.272664
0.211008,0.0527358,0,-0.270558
0.209207,0.0525663,0,-0.268445
0.207419,0.0523962,0,-0.266329
0.205642,0.0522255,0,-0.264206
0.203877,0.0520542,0,-0.262077
0.202123,0.0518823,0,-0.259939
0.200381,0.0517099,0,-0.257795
0.19865,0.051537,0,-0.255643
0.19693,0.0513635,0,-0.253486
0.195221,0.0511895,0,-0.251322
0.193524,0.0510149,0,-0.249153
0.191837,0.0508399,0,-0.246979
0.190162,0.0506644,0,-0.244799
0.188497,0.0504884,0,-0.242615
0.186843,0.0503119,0,-0.240426
0.1852,0.0501349,0,-0.238236
0.183567,0.0499575,0,-0.236046
0.181944,0.0497797,0,-0.233859
0.180332,0.0496014,0,-0.231671
0.178731,0.0494227,0,-0.229481
0.177139,0.0492435,0,-0.227284
0.175558,0.0490639,0,-0.225082
0.173986,0.0488839,0,-0.222868
0.172425,0.0487034,0,-0.220645
0.170873,0.0485225,0,-0.218408
0.169331,0.0483412,0,-0.216161
0.167799,0.0481595,0,-0.213898
0.166277,0.0479774,0,-0.211622
0.164764,0.0477949,0,-0.209328
0.16326,0.0476119,0,-0.207019
0.161766,0.0474286,0,-0.204693
0.160281,0.0472448,0,-0.202353
0.158806,0.0470607,0,-0.199998
0.157339,0.0468762,0,-0.197631
0.155882,0.0466913,0,-0.195251
0.154434,0.0465061,0,-0.192857
0.152994,0.0463205,0,-0.190452
0.151563,0.0461345,0,-0.188036
0.150142,0.0459482,0,-0.185608
0.148728,0.0457615,0,-0.183173
0.147324,0.0455745,0,-0.180728
0.145928,0.0453871,0,-0.17828
0.14454,0.0451995,0,-0.175822
0.143161,0.0450115,0,-0.173359
0.14179,0.0448231,0,-0.170884
0.140427,0.0446345,0,-0.168401
0.139073,0.0444455,0,-0.165905
0.137726,0.0442562,0,-0.163401
0.136388,0.0440666,0,-0.160884
0.135058,0.0438767,0,-0.15836
0.133735,0.0436864,0,-0.155824
0.13242,0.0434959,0,-0.153281
0.131113,0.043305,0,-0.150727
0.129814,0.0431138,0,-0.148169
0.128522,0.0429224,0,-0.145602
0.127238,0.0427306,0,-0.143031
0.125961,0.0425385,0,-0.140448
0.124692,0.0423461,0,-0.137858
0.12343,0.0421534,0,-0.135255
0.122175,0.0419604,0,-0.132642
0.120927,0.041767,0,-0.130015
0.119687,0.0415734,0,-0.127379
0.118454,0.0413794,0,-0.124729
0.117227,0.0411851,0,-0.122069
0.116008,0.0409905,0,-0.119397
0.114795,0.0407956,0,-0.11672
0.11359,0.0406004,0,-0.114035
0.112391,0.0404048,0,-0.111345
0.111198,0.0402089,0,-0.108646
0.110013,0.0400127,0,-0.105936
0.108833,0.0398161,0,-0.103212
0.107661,0.0396192,0,-0.100473
0.106494,0.0394219,0,-0.0977152
0.105335,0.0392243,0,-0.0949424
0.104181,0.0390263,0,-0.0921479
0.103034,0.0388279,0,-0.0893379
0.101893,0.0386292,0,-0.0865064
0.100758,0.0384301,0,-0.0836591
0.0996288,0.0382306,0,-0.0807916
0.098506,0.0380307,0,-0.0779118
0.097389,0.0378304,0,-0.0750143
0.096278,0.0376296,0,-0.072102
0.0951729,0.0374285,0,-0.0691674
0.0940735,0.037227,0,-0.066214
0.0929798,0.037025,0,-0.0632354
0.0918918,0.0368225,0,-0.0602358
0.0908094,0.0366197,0,-0.0572096
0.0897326,0.0364163,0,-0.0541619
0.0886613,0.0362125,0,-0.0510878
0.0875954,0.0360082,0,-0.0479924
0.0865349,0.0358035,0,-0.0448713
0.0854798,0.0355982,0,-0.041732
0.08443,0.0353925,0,-0.0385737
0.0833853,0.0351862,0,-0.0354022
0.0823459,0.0349794,0,-0.0322081
0.0813116,0.0347721,0,-0.0289923
0.0802823,0.0345643,0,-0.0257466
0.0792581,0.0343558,0,-0.0224739
0.0782389,0.0341468,0,-0.0191674
0.0772245,0.0339372,0,-0.0158308
0.0762151,0.033727,0,-0.0124585
0.0752104,0.0335162,0,-0.00905489
0.0742106,0.0333047,0,-0.00561569
0.0732154,0.0330926,0,-0.00214704
0.0722249,0.0328798,0,0.00135328
0.0712391,0.0326664,0,0.00487643
0.0702578,0.0324523,0,0.00842506
0.069281,0.0322375,0,0.0120017
0.0683087,0.0320219,0,0.0156177
0.0673408,0.0318056,0,0.0192697
0.0663773,0.0315885,0,0.0229704
0.0654182,0.0313706,0,0.0267121
0.0644634,0.0311519,0,0.0305068
0.0635128,0.0309324,0,0.0343447
0.0625664,0.030712,0,0.038236
0.0616241,0.0304908,0,0.0421709
0.060686,0.0302686,0,0.0461575
0.0597519,0.0300455,0,0.0501811
0.0588219,0.0298215,0,0.0542448
0.0578958,0.0295966,0,0.0583419
0.0569737,0.0293706,0,0.0624911
0.0560555,0.0291437,0,0.0666898
0.0551412,0.0289157,0,0.0709524
0.0542306,0.0286866,0,0.0752732
0.0533239,0.0284564,0,0.0796645
0.0524209,0.028225,0,0.0841175
0.0515216,0.0279925,0,0.0886424
0.0506259,0.0277588,0,0.0932284
0.0497339,0.0275238,0,0.0978834
0.0488455,0.0272876,0,0.102589
0.0479607,0.02705,0,0.107339
0.0470793,0.0268112,0,0.112127
0.0462015,0.026571,0,0.116981
0.0453271,0.0263293,0,0.121905
0.0444561,0.0260862,0,0.126921
0.0435885,0.0258415,0,0.132028
0.0427244,0.0255953,0,0.137241
0.0418635,0.0253474,0,0.142552
0.041006,0.0250977,0,0.147973
0.0401517,0.0248464,0,0.153494
0.0393008,0.0245932,0,0.159118
0.038453,0.0243382,0,0.164807
0.0376085,0.0240813,0,0.170555
0.0367672,0.0238224,0,0.17638
0.0359291,0.0235614,0,0.182331
0.0350942,0.0232983,0,0.188424
