Points_0,Points_1,Points_2,Pressure_Coefficient
1,0,0,-0.497538
0.992739,0.00151925,0,-0.449378
0.985523,0.00298981,0,-0.469913
0.978353,0.00442412,0,-0.467712
0.971231,0.0058254,0,-0.475526
0.964156,0.00719657,0,-0.4829
0.957129,0.00853886,0,-0.490815
0.950149,0.00985441,0,-0.498539
0.943216,0.0111454,0,-0.505786
0.936331,0.0124123,0,-0.512474
0.929492,0.0136555,0,-0.518438
0.9227,0.0148758,0,-0.523707
0.915955,0.0160741,0,-0.528236
0.909257,0.0172512,0,-0.5321
0.902604,0.0184074,0,-0.53533
0.895997,0.0195429,0,-0.537989
0.889435,0.0206585,0,-0.540133
0.882919,0.0217549,0,-0.541837
0.876448,0.0228325,0,-0.54317
0.870022,0.0238914,0,-0.544185
0.86364,0.0249318,0,-0.544943
0.857303,0.0259541,0,-0.545475
0.851009,0.0269588,0,-0.545864
0.844759,0.0279463,0,-0.546101
0.838553,0.0289166,0,-0.546285
0.832389,0.0298701,0,-0.546362
0.826269,0.0308068,0,-0.546439
0.82019,0.0317268,0,-0.546453
0.814155,0.0326299,0,-0.546478
0.80816,0.0335165,0,-0.546481
0.802208,0.0343865,0,-0.546501
0.796297,0.0352404,0,-0.546528
0.790427,0.0360781,0,-0.546581
0.784597,0.0368999,0,-0.546654
0.778808,0.0377056,0,-0.546756
0.77306,0.0384955,0,-0.54688
0.767351,0.0392698,0,-0.547033
0.761682,0.0400286,0,-0.547209
0.756052,0.0407722,0,-0.547415
0.750462,0.0415009,0,-0.547646
0.74491,0.0422147,0,-0.547902
0.739397,0.0429137,0,-0.54818
0.733922,0.0435979,0,-0.548476
0.728485,0.0442674,0,-0.548792
0.723086,0.0449225,0,-0.549119
0.717725,0.0455634,0,-0.549476
0.712401,0.0461902,0,-0.549829
0.707114,0.0468031,0,-0.550228
0.701864,0.0474024,0,-0.550598
0.696651,0.0479881,0,-0.551035
0.691474,0.0485606,0,-0.551419
0.686333,0.0491198,0,-0.551878
0.681227,0.0496661,0,-0.552289
0.676158,0.0501994,0,-0.55275
0.671124,0.0507198,0,-0.553192
0.666124,0.0512276,0,-0.553667
0.66116,0.0517227,0,-0.554146
0.656231,0.0522054,0,-0.554655
0.651335,0.0526758,0,-0.555182
0.646474,0.053134,0,-0.555745
0.641647,0.0535801,0,-0.556331
0.636854,0.0540142,0,-0.556959
0.632094,0.0544364,0,-0.557612
0.627367,0.0548466,0,-0.558299
0.622674,0.055245,0,-0.559008
0.618013,0.0556315,0,-0.559738
0.613385,0.0560062,0,-0.560482
0.608789,0.0563692,0,-0.561241
0.604225,0.0567205,0,-0.562008
0.599693,0.0570602,0,-0.562791
0.595193,0.0573884,0,-0.56358
0.590724,0.057705,0,-0.564389
0.586286,0.0580102,0,-0.565202
0.58188,0.058304,0,-0.566044
0.577504,0.0585865,0,-0.566872
0.573159,0.0588577,0,-0.56774
0.568844,0.0591177,0,-0.568565
0.564559,0.0593668,0,-0.569428
0.560305,0.0596051,0,-0.570237
0.55608,0.0598328,0,-0.571053
0.551885,0.0600501,0,-0.571833
0.547719,0.0602572,0,-0.572594
0.543582,0.0604544,0,-0.573323
0.539475,0.0606418,0,-0.574028
0.535396,0.0608197,0,-0.574703
0.531346,0.0609883,0,-0.575357
0.527324,0.0611479,0,-0.575987
0.523331,0.0612986,0,-0.576608
0.519366,0.0614408,0,-0.577216
0.515429,0.0615746,0,-0.577831
0.511519,0.0617002,0,-0.578452
0.507637,0.0618179,0,-0.579099
0.503782,0.0619278,0,-0.579775
0.499954,0.0620302,0,-0.580494
0.496154,0.0621252,0,-0.581265
0.49238,0.0622132,0,-0.582085
0.488632,0.0622942,0,-0.582974
0.484912,0.0623685,0,-0.583893
0.481217,0.0624362,0,-0.584896
0.477548,0.0624977,0,-0.585876
0.473905,0.062553,0,-0.586957
0.470288,0.0626024,0,-0.587952
0.466697,0.0626459,0,-0.58905
0.46313,0.0626839,0,-0.590053
0.459589,0.0627164,0,-0.591134
0.456073,0.0627435,0,-0.592173
0.452581,0.0627656,0,-0.593269
0.449115,0.0627826,0,-0.594363
0.445672,0.0627948,0,-0.595501
0.442254,0.0628023,0,-0.596644
0.43886,0.0628052,0,-0.597811
0.43549,0.0628037,0,-0.598971
0.432143,0.0627979,0,-0.600121
0.42882,0.0627879,0,-0.601248
0.425521,0.0627738,0,-0.602343
