Points_0,Points_1,Points_2,Pressure_Coefficient
1,0,0,0.109599
0.992739,0.00151925,0,0.117686
0.985523,0.00298981,0,0.0839065
0.978353,0.00442412,0,0.0782909
0.971231,0.0058254,0,0.0736711
0.964156,0.00719657,0,0.06586
0.957129,0.00853886,0,0.0584812
0.950149,0.00985441,0,0.0503211
0.943216,0.0111454,0,0.0423424
0.936331,0.0124123,0,0.0340864
0.929492,0.0136555,0,0.0258112
0.9227,0.0148758,0,0.0173841
0.915955,0.0160741,0,0.00889641
0.909257,0.0172512,0,0.000308825
0.902604,0.0184074,0,-0.00832432
0.895997,0.0195429,0,-0.017018
0.889435,0.0206585,0,-0.0257536
0.882919,0.0217549,0,-0.0345404
0.876448,0.0228325,0,-0.0433543
0.870022,0.0238914,0,-0.0521963
0.86364,0.0249318,0,-0.0610536
0.857303,0.0259541,0,-0.0699354
0.851009,0.0269588,0,-0.0788327
0.844759,0.0279463,0,-0.0877499
0.838553,0.0289166,0,-0.0966802
0.832389,0.0298701,0,-0.10563
0.826269,0.0308068,0,-0.114589
0.82019,0.0317268,0,-0.123566
0.814155,0.0326299,0,-0.132551
0.80816,0.0335165,0,-0.141557
0.802208,0.0343865,0,-0.150584
0.796297,0.0352404,0,-0.159643
0.790427,0.0360781,0,-0.16874
0.784597,0.0368999,0,-0.177883
0.778808,0.0377056,0,-0.187081
0.77306,0.0384955,0,-0.196343
0.767351,0.0392698,0,-0.205688
0.761682,0.0400286,0,-0.215129
0.756052,0.0407722,0,-0.224687
0.750462,0.0415009,0,-0.234374
0.74491,0.0422147,0,-0.244213
0.739397,0.0429137,0,-0.254219
0.733922,0.0435979,0,-0.264418
0.728485,0.0442674,0,-0.274831
0.723086,0.0449225,0,-0.285487
0.717725,0.0455634,0,-0.296411
0.712401,0.0461902,0,-0.307629
0.707114,0.0468031,0,-0.319166
0.701864,0.0474024,0,-0.331049
0.696651,0.0479881,0,-0.343299
0.691474,0.0485606,0,-0.355938
0.686333,0.0491198,0,-0.368984
0.681227,0.0496661,0,-0.382457
0.676158,0.0501994,0,-0.396361
0.671124,0.0507198,0,-0.410713
0.666124,0.0512276,0,-0.425504
0.66116,0.0517227,0,-0.440737
0.656231,0.0522054,0,-0.456386
0.651335,0.0526758,0,-0.472438
0.646474,0.053134,0,-0.488852
0.641647,0.0535801,0,-0.505598
0.636854,0.0540142,0,-0.522617
0.632094,0.0544364,0,-0.539861
0.627367,0.0548466,0,-0.557259
0.622674,0.055245,0,-0.574753
0.618013,0.0556315,0,-0.592262
0.613385,0.0560062,0,-0.60973
0.608789,0.0563692,0,-0.627092
0.604225,0.0567205,0,-0.644319
0.599693,0.0570602,0,-0.661395
0.595193,0.0573884,0,-0.678366
0.590724,0.057705,0,-0.695299
0.586286,0.0580102,0,-0.712326
0.58188,0.058304,0,-0.729602
0.577504,0.0585865,0,-0.747534
0.573159,0.0588577,0,-0.76697
0.568844,0.0591177,0,-0.789476
0.564559,0.0593668,0,-0.818108
0.560305,0.0596051,0,-0.8583
0.55608,0.0598328,0,-0.918466
0.551885,0.0600501,0,-1.0112
0.547719,0.0602572,0,-1.14946
0.543582,0.0604544,0,-1.30118
0.539475,0.0606418,0,-1.40708
0.535396,0.0608197,0,-1.45646
0.531346,0.0609883,0,-1.47135
0.527324,0.0611479,0,-1.47163
0.523331,0.0612986,0,-1.46783
0.519366,0.0614408,0,-1.46349
0.515429,0.0615746,0,-1.45943
0.511519,0.0617002,0,-1.4556
0.507637,0.0618179,0,-1.45195
0.503782,0.0619278,0,-1.44845
0.499954,0.0620302,0,-1.44511
0.496154,0.0621252,0,-1.44195
0.49238,0.0622132,0,-1.43895
0.488632,0.0622942,0,-1.43608
0.484912,0.0623685,0,-1.43327
0.481217,0.0624362,0,-1.4305
0.477548,0.0624977,0,-1.42775
0.473905,0.062553,0,-1.42503
0.470288,0.0626024,0,-1.42238
0.466697,0.0626459,0,-1.41982
0.46313,0.0626839,0,-1.41735
0.459589,0.0627164,0,-1.41495
0.456073,0.0627435,0,-1.41264
0.452581,0.0627656,0,-1.41044
0.449115,0.0627826,0,-1.40836
0.445672,0.0627948,0,-1.40636
0.442254,0.0628023,0,-1.40438
0.43886,0.0628052,0,-1.40237
