"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -4.644684924,      -15.31935827,      -15.61653364,      -3.928331692,      -16.87775124,      0.5374608729,      0.2787189664,      0.2174636762,                 0,                 0,                 0,     0.09222233169,      0.2697273416,      0.2285210579,                 0,      0.7802256122,   0.0005508791123
           1,       -5.00425052,      -4.796984073,      -4.839887454,      -4.260861304,      -10.44432775,       1.528697371,      0.3051041434,      0.2447931183,                 0,                 0,                 0,     0.09271617014,      0.2949895318,      0.2568917773,                 0,      0.8023264305,    0.000608704168
           2,      -4.929902928,      -4.688266342,       -4.79456503,      -4.167970858,       -10.4443265,       2.173371802,      0.2883541021,      0.2260417353,                 0,                 0,                 0,     0.08224021697,      0.2790088986,      0.2374805018,                 0,      0.7839033107,    0.000608704168
           3,      -4.743579398,      -4.529648854,      -4.585619503,      -3.999121154,      -10.44432311,       1.581843953,      0.2513659853,      0.2266659333,                 0,                 0,                 0,     0.08376126196,      0.2420256803,      0.2366133427,                 0,      0.9017366968,    0.000608704168
           4,      -4.565992098,      -4.384160143,       -4.42441397,       -3.83084581,      -10.44431806,      0.9695324702,      0.2092084872,      0.2415825909,                 0,                 0,                 0,     0.09064649334,      0.1993012069,      0.2498186708,                 0,       1.154745651,    0.000608704168
           5,      -4.430167719,      -4.286869516,      -4.318835862,      -3.699066898,      -10.44431437,      0.3508075606,      0.1798193434,      0.2667694502,                 0,                 0,                 0,     0.09970989067,      0.1689207592,      0.2738004984,                 0,       1.483541454,    0.000608704168
           6,      -4.342504172,      -4.230661872,      -4.268815768,      -3.611123594,      -10.44431413,     0.07609249049,      0.1620403935,      0.2990025651,                 0,                 0,                 0,      0.1099339302,       0.149857063,      0.3052908182,                 0,       1.845234751,    0.000608704168
           7,      -4.299185545,      -4.181523865,      -4.265762699,      -3.561022068,      -10.44431628,      0.1225018562,      0.1511827643,      0.3352936581,                 0,                 0,                 0,      0.1205390789,      0.1375455016,      0.3411147906,                 0,       2.217803462,    0.000608704168
           8,      -4.295001524,      -4.121198391,      -4.294812322,      -3.543247869,      -10.44431803,      0.1408680628,      0.1428560773,      0.3732369155,                 0,                 0,                 0,      0.1307223939,      0.1276962331,      0.3786915974,                 0,       2.612677896,    0.000608704168
           9,      -4.318879475,      -4.071624825,      -4.332123138,       -3.55311385,      -10.44431657,      0.2755877888,      0.1343117154,      0.4112002515,                 0,                 0,                 0,      0.1398623527,      0.1176286574,      0.4162796929,                 0,       3.061536741,    0.000608704168
          10,      -4.340485339,      -4.054732469,      -4.348949016,      -3.575409416,      -10.44431024,      0.1784800943,      0.1244637373,      0.4476085709,                 0,                 0,                 0,      0.1473907529,      0.1063212015,      0.4522614915,                 0,       3.596297045,    0.000608704168
          11,      -4.326734966,      -4.073500855,      -4.329982939,      -3.581134773,      -10.44430037,      0.6140057114,      0.1134589817,      0.4815865355,                 0,                 0,                 0,      0.1531251819,     0.09395586655,      0.4857682851,                 0,       4.244587147,    0.000608704168
          12,      -4.289110485,      -4.110962394,      -4.285859542,      -3.556360838,      -10.44428774,      0.4522764954,      0.1018767567,       0.513258926,                 0,                 0,                 0,      0.1572800908,     0.08110646033,      0.5169481026,                 0,       5.038037552,    0.000608704168
          13,      -4.260775593,      -4.136945886,      -4.246511115,      -3.523973044,      -10.44427251,     -0.2317671545,      0.0902378311,      0.5437280083,                 0,                 0,                 0,      0.1603129014,     0.06824890035,      0.5469233043,                 0,       6.025499524,    0.000608704168
          14,      -4.258968625,        -4.1349125,      -4.235737913,      -3.511418807,      -10.44425658,     -0.3011115729,     0.07890122374,      0.5739698912,                 0,                 0,                 0,      0.1625000816,      0.0557025705,      0.5766836765,                 0,        7.27453725,    0.000608704168
          15,      -4.286679824,      -4.118980604,      -4.263315679,       -3.52920599,      -10.44424186,     -0.2957169297,     0.06821765965,      0.6042128398,                 0,                 0,                 0,      0.1638752616,     0.04380871027,      0.6064714353,                 0,       8.857132346,    0.000608704168
          16,      -4.339054565,      -4.106852134,      -4.323410748,      -3.573582861,      -10.44422988,     -0.3054106024,     0.05850891031,      0.6334551081,                 0,                 0,                 0,      0.1640570051,     0.03292920624,       0.635298618,                 0,       10.82664341,    0.000608704168
          17,      -4.405100589,      -4.104493251,      -4.388065647,      -3.631584406,      -10.44422151,     -0.2314193756,     0.05017968521,      0.6603054059,                 0,                 0,                 0,      0.1627584284,     0.02352451662,      0.6617913773,                 0,       13.15881922,    0.000608704168
          18,      -4.468754824,       -4.11311881,      -4.419601292,      -3.686925778,      -10.44421683,     -0.3157169375,     0.04352445076,      0.6836657192,                 0,                 0,                 0,      0.1598661689,     0.01593312529,      0.6848644603,                 0,       15.70762427,    0.000608704168
          19,      -4.516057317,       -4.13348851,      -4.422204866,      -3.730648088,      -10.44421555,     -0.3272876145,     0.03864397124,      0.7032755154,                 0,                 0,                 0,      0.1555102794,     0.01026621571,      0.7042616076,                 0,        18.1988417,    0.001024708496
          20,      -4.546664114,      -4.165825262,       -4.43314427,      -3.767083391,      -10.44421682,     -0.3392433906,     0.03551306531,      0.7192331208,                 0,                 0,                 0,      0.1499243168,     0.00649466385,      0.7200800506,                 0,       20.25263419,    0.001024708496
          21,      -4.572952823,      -4.208970312,      -4.472462219,      -3.805069074,      -10.44421968,     -0.3627361749,     0.03402064461,      0.7316993226,                 0,                 0,                 0,      0.1433470473,    0.004500990897,      0.7324759683,                 0,       21.50750907,    0.001024708496
          22,      -4.607402155,      -4.259630393,      -4.535534682,      -3.847999746,      -10.44422254,     -0.3570285202,     0.03396934464,      0.7407272205,                 0,                 0,                 0,      0.1360461151,    0.004085852498,      0.7414944621,                 0,       21.80575541,    0.001024708496
          23,      -4.655327708,      -4.313126981,      -4.598227731,      -3.893422753,      -10.44422458,     -0.3438567894,     0.03508885541,      0.7465901686,                 0,                 0,                 0,      0.1285100772,    0.004968140466,       0.747397769,                 0,       21.27713087,    0.001024708496
          24,      -4.714906044,       -4.36601024,      -4.635969165,      -3.938876169,      -10.44422566,     -0.3466926091,     0.03700317719,      0.7495642019,                 0,                 0,                 0,      0.1211847545,    0.006761034686,      0.7504465446,                 0,       20.25675249,    0.001024708496
          25,      -4.779620847,      -4.418621018,       -4.65616051,      -3.986556206,      -10.44422588,     -0.3561957837,     0.03932591431,      0.7500464031,                 0,                 0,                 0,      0.1143931954,    0.009062448603,      0.7510219746,                 0,        19.0725738,    0.001024708496
          26,      -4.841301484,      -4.474267884,      -4.686344799,      -4.041184545,      -10.44422552,     -0.3653108436,     0.04170221797,      0.7484145145,                 0,                 0,                 0,      0.1083032287,     0.01150259642,      0.7494871919,                 0,       17.94663572,    0.001024708496
          27,      -4.893852192,      -4.535725337,      -4.744477716,      -4.104094357,      -10.44422489,     -0.3703267792,     0.04381069044,      0.7449845889,                 0,                 0,                 0,      0.1030231935,      0.0137476027,       0.746145038,                 0,       17.00463018,    0.001024708496
          28,       -4.93793993,      -4.602372777,      -4.833601686,      -4.170625476,       -10.4442242,     -0.3761384398,     0.04540453947,        0.74028449,                 0,                 0,                 0,     0.09871902353,     0.01552959959,      0.7415130004,                 0,       16.30419554,    0.001024708496
          29,      -4.977644359,      -4.669397714,      -4.939667756,      -4.230034526,      -10.44422357,     -0.3834462657,      0.0463257209,      0.7348281751,                 0,                 0,                 0,     0.09550111755,     0.01666995568,      0.7360982488,                 0,       15.86220702,    0.001759149056
          30,      -5.015369688,       -4.73002505,      -5.025618486,      -4.272588027,      -10.44422307,     -0.3894942164,     0.04649968246,      0.7291490868,                 0,                 0,                 0,     0.09340239791,     0.01707267825,      0.7304307872,                 0,        15.6807326,    0.001759149056
          31,      -5.049904653,      -4.780685622,      -5.061262439,      -4.298939837,      -10.44422258,     -0.3967405814,     0.04592259595,      0.7237527163,                 0,                 0,                 0,     0.09239307703,      0.0167135678,      0.7250155418,                 0,       15.76027446,    0.001759149056
