Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
0,0.821654,0,2.26152,0.43241,1.2281e-07,0,0,0,0,0,0,1,0,0,1,0.904608,-0.122331,1.07234e-18,1.8841e-06,0,1.8841e-06,1.13998,0.0499465
1,0.82195,0,2.2625,12.0874,1.22817e-07,0,0,0,0,0,0,0.998654,0.000194975,0,0.998654,0.905,-0.121547,-6.95471e-05,1.00949e-05,0,7.02759e-05,1.14006,0.21879
2,0.821231,0,2.26062,3.39355,1.22821e-07,0,0,0,0,0,0,0.997309,0.000390634,0,0.997309,0.904249,-0.123047,-0.000108385,1.57304e-05,0,0.00010952,1.14011,0.273
3,0.821516,0,2.26145,0.581851,1.22823e-07,0,0,0,0,0,0,0.995963,0.000585561,0,0.995963,0.904582,-0.122382,-0.000145441,2.10201e-05,0,0.000146952,1.14014,0.31628
4,0.820971,0,2.25996,-0.695457,1.22823e-07,0,0,0,0,0,0,0.994617,0.000779617,0,0.994618,0.903983,-0.12358,-0.00018349,2.64454e-05,0,0.000185386,1.14014,0.355122
5,0.820629,0,2.25899,-1.37476,1.22822e-07,0,0,0,0,0,0,0.993272,0.000973484,0,0.993272,0.903597,-0.124353,-0.00021435,3.08848e-05,0,0.000216564,1.14013,0.383746
6,0.82014,0,2.2576,-1.873,1.2282e-07,0,0,0,0,0,0,0.991926,0.00116744,0,0.991926,0.903042,-0.125463,-0.000241069,3.47172e-05,0,0.000243556,1.1401,0.406844
7,0.819624,0,2.25613,-2.26631,1.22818e-07,0,0,0,0,0,0,0.99058,0.00136111,0,0.990581,0.902452,-0.126642,-0.000263575,3.78812e-05,0,0.000266284,1.14008,0.425277
8,0.819076,0,2.25456,-2.60203,1.22816e-07,0,0,0,0,0,0,0.989234,0.0015543,0,0.989235,0.901823,-0.127901,-0.000282805,4.05408e-05,0,0.000285696,1.14005,0.440367
9,0.818506,0,2.25292,-2.89723,1.22813e-07,0,0,0,0,0,0,0.987888,0.001747,0,0.98789,0.901169,-0.129209,-0.000299385,4.28152e-05,0,0.000302431,1.14001,0.452934
10,0.817923,0,2.25124,-3.16135,1.2281e-07,0,0,0,0,0,0,0.986542,0.00193928,0,0.986544,0.900498,-0.13055,-0.000313838,4.47921e-05,0,0.000317018,1.13998,0.463575
11,0.817334,0,2.24955,-3.40249,1.22807e-07,0,0,0,0,0,0,0.985196,0.00213123,0,0.985198,0.89982,-0.131906,-0.000326599,4.65455e-05,0,0.000329899,1.13994,0.472739
12,0.816737,0,2.24783,-3.62193,1.22804e-07,0,0,0,0,0,0,0.98385,0.00232296,0,0.983853,0.899133,-0.133279,-0.000337917,4.81055e-05,0,0.000341324,1.1399,0.480692
13,0.816145,0,2.24613,-3.82417,1.22801e-07,0,0,0,0,0,0,0.982504,0.0025145,0,0.982507,0.898452,-0.134641,-0.000348038,4.94807e-05,0,0.000351538,1.13986,0.487667
14,0.815548,0,2.24441,-4.00693,1.22798e-07,0,0,0,0,0,0,0.981157,0.00270573,0,0.981161,0.897765,-0.136016,-0.000357071,5.06668e-05,0,0.000360648,1.13982,0.493777
15,0.814963,0,2.24273,-4.16634,1.22795e-07,0,0,0,0,0,0,0.979811,0.00289654,0,0.979816,0.897091,-0.137363,-0.000365097,5.16827e-05,0,0.000368737,1.13979,0.499117
16,0.814385,0,2.24106,-4.30776,1.22792e-07,0,0,0,0,0,0,0.978465,0.00308689,0,0.97847,0.896425,-0.138696,-0.000372318,5.25881e-05,0,0.000376014,1.13975,0.503852
17,0.813818,0,2.23943,-4.43718,1.22789e-07,0,0,0,0,0,0,0.977119,0.00327687,0,0.977124,0.895773,-0.14,-0.000378978,5.34418e-05,0,0.000382728,1.13971,0.508165
18,0.813264,0,2.23784,-4.56707,1.22786e-07,0,0,0,0,0,0,0.975772,0.00346661,0,0.975778,0.895134,-0.141277,-0.00038539,5.42895e-05,0,0.000389196,1.13968,0.512279
19,0.81272,0,2.23627,-4.70482,1.22783e-07,0,0,0,0,0,0,0.974426,0.0036562,0,0.974433,0.894508,-0.142529,-0.000391738,5.51355e-05,0,0.000395599,1.13964,0.516315
20,0.812188,0,2.23474,-4.84955,1.2278e-07,0,0,0,0,0,0,0.973079,0.00384561,0,0.973087,0.893897,-0.143753,-0.000398021,5.5951e-05,0,0.000401935,1.13961,0.520275
21,0.811667,0,2.23324,-4.99109,1.22778e-07,0,0,0,0,0,0,0.971733,0.00403475,0,0.971741,0.893297,-0.144953,-0.000404064,5.67012e-05,0,0.000408023,1.13958,0.524043
22,0.811163,0,2.23179,-5.12374,1.22775e-07,0,0,0,0,0,0,0.970386,0.00422352,0,0.970396,0.892717,-0.146111,-0.00040976,5.73744e-05,0,0.000413757,1.13954,0.52756
23,0.810671,0,2.23038,-5.24524,1.22773e-07,0,0,0,0,0,0,0.96904,0.00441184,0,0.96905,0.892152,-0.147242,-0.000415046,5.79797e-05,0,0.000419076,1.13951,0.530789
24,0.810199,0,2.22902,-5.35607,1.2277e-07,0,0,0,0,0,0,0.967693,0.00459975,0,0.967704,0.891609,-0.148328,-0.000419935,5.85375e-05,0,0.000423995,1.13948,0.53375
