Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
881,0.69507,0,1.92739,-802.84,1.21344e-07,0,0,0,0,0,0,0.16157,-0.0545595,0,0.170533,0.770958,-0.435346,0.0044247,-0.000398861,0,0.00444264,1.12194,1.6191
882,0.69407,0,1.92457,-800.918,1.21341e-07,0,0,0,0,0,0,0.162924,-0.0546808,0,0.171855,0.769828,-0.437604,0.00441978,-0.00039274,0,0.00443719,1.12191,1.61697
883,0.693069,0,1.92174,-799.358,1.21339e-07,0,0,0,0,0,0,0.164278,-0.0548002,0,0.173177,0.768697,-0.439867,0.00441533,-0.000386715,0,0.00443223,1.12188,1.61493
884,0.692033,0,1.91882,-798.421,1.21336e-07,0,0,0,0,0,0,0.165633,-0.054918,0,0.1745,0.767527,-0.442208,0.00441225,-0.000380862,0,0.00442866,1.12184,1.61311
885,0.690966,0,1.9158,-797.838,1.21333e-07,0,0,0,0,0,0,0.166988,-0.0550341,0,0.175823,0.766319,-0.444623,0.00441003,-0.000375132,0,0.00442596,1.12181,1.61141
886,0.689868,0,1.91269,-797.552,1.2133e-07,0,0,0,0,0,0,0.168342,-0.0551485,0,0.177146,0.765075,-0.447112,0.00440851,-0.000369508,0,0.00442397,1.12177,1.60981
887,0.688733,0,1.90947,-797.563,1.21327e-07,0,0,0,0,0,0,0.169697,-0.0552612,0,0.178469,0.763789,-0.449684,0.00440771,-0.000363991,0,0.00442271,1.12173,1.6083
888,0.687568,0,1.90617,-797.718,1.21323e-07,0,0,0,0,0,0,0.171053,-0.0553723,0,0.179792,0.762467,-0.452328,0.00440729,-0.000358555,0,0.00442186,1.12169,1.60683
889,0.686385,0,1.90281,-797.781,1.2132e-07,0,0,0,0,0,0,0.172408,-0.0554818,0,0.181115,0.761125,-0.455011,0.0044067,-0.000353158,0,0.00442083,1.12164,1.60531
890,0.685204,0,1.89946,-797.456,1.21316e-07,0,0,0,0,0,0,0.173763,-0.0555896,0,0.182439,0.759786,-0.45769,0.00440519,-0.00034774,0,0.00441889,1.1216,1.60363
891,0.684044,0,1.89618,-796.647,1.21313e-07,0,0,0,0,0,0,0.175119,-0.0556958,0,0.183762,0.758471,-0.46032,0.00440269,-0.000342301,0,0.00441598,1.12156,1.60179
892,0.682929,0,1.89302,-795.346,1.21309e-07,0,0,0,0,0,0,0.176475,-0.0558004,0,0.185086,0.757208,-0.462846,0.00439928,-0.00033685,0,0.00441216,1.12152,1.59983
893,0.681867,0,1.89001,-793.753,1.21306e-07,0,0,0,0,0,0,0.17783,-0.0559034,0,0.18641,0.756005,-0.465252,0.00439534,-0.000331417,0,0.00440782,1.12148,1.59784
894,0.680843,0,1.88712,-792.299,1.21304e-07,0,0,0,0,0,0,0.179186,-0.0560048,0,0.187735,0.754847,-0.467568,0.00439156,-0.000326058,0,0.00440365,1.12144,1.59592
895,0.679828,0,1.88424,-791.144,1.21301e-07,0,0,0,0,0,0,0.180542,-0.0561047,0,0.189059,0.753698,-0.469866,0.00438811,-0.000320781,0,0.00439982,1.12141,1.59408
896,0.678801,0,1.88134,-790.212,1.21298e-07,0,0,0,0,0,0,0.181898,-0.0562031,0,0.190383,0.752536,-0.472189,0.00438512,-0.000315592,0,0.00439646,1.12137,1.5923
897,0.67778,0,1.87845,-789.177,1.21295e-07,0,0,0,0,0,0,0.183255,-0.0562999,0,0.191708,0.751381,-0.4745,0.00438196,-0.000310437,0,0.00439294,1.12134,1.5905
898,0.676774,0,1.8756,-788.164,1.21292e-07,0,0,0,0,0,0,0.184611,-0.0563953,0,0.193033,0.750242,-0.476778,0.00437886,-0.000305327,0,0.00438949,1.1213,1.58873
899,0.675771,0,1.87277,-787.151,1.21289e-07,0,0,0,0,0,0,0.185967,-0.0564891,0,0.194358,0.749107,-0.479048,0.0043757,-0.000300253,0,0.00438599,1.12127,1.58696
900,0.674777,0,1.86996,-786.063,1.21287e-07,0,0,0,0,0,0,0.187324,-0.0565814,0,0.195683,0.747983,-0.481296,0.00437239,-0.000295208,0,0.00438234,1.12124,1.58517
901,0.673799,0,1.86719,-784.82,1.21284e-07,0,0,0,0,0,0,0.188681,-0.0566723,0,0.197008,0.746876,-0.483509,0.00436883,-0.000290188,0,0.00437846,1.1212,1.58335
902,0.672844,0,1.86449,-783.569,1.21281e-07,0,0,0,0,0,0,0.190037,-0.0567617,0,0.198333,0.745796,-0.48567,0.00436531,-0.000285211,0,0.00437461,1.12117,1.58157
903,0.671899,0,1.86182,-782.453,1.21279e-07,0,0,0,0,0,0,0.191394,-0.0568496,0,0.199659,0.744727,-0.487807,0.00436198,-0.000280288,0,0.00437098,1.12114,1.57984
904,0.670952,0,1.85914,-781.486,1.21276e-07,0,0,0,0,0,0,0.192751,-0.056936,0,0.200984,0.743656,-0.489949,0.00435887,-0.000275418,0,0.00436756,1.12111,1.57814
905,0.670003,0,1.85646,-780.52,1.21273e-07,0,0,0,0,0,0,0.194108,-0.0570211,0,0.20231,0.742584,-0.492094,0.00435574,-0.00027059,0,0.00436414,1.12107,1.57644
906,0.669064,0,1.8538,-779.407,1.21271e-07,0,0,0,0,0,0,0.195465,-0.0571046,0,0.203636,0.741521,-0.494219,0.00435239,-0.000265799,0,0.0043605,1.12104,1.57471
907,0.668143,0,1.8512,-778.215,1.21268e-07,0,0,0,0,0,0,0.196823,-0.0571868,0,0.204962,0.74048,-0.496302,0.00434894,-0.000261057,0,0.00435677,1.12101,1.57299
