Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
0,0.973796,0,3.34015,-65.9186,1.20323e-07,0,0,0,0,0,0,1,0,0,1,1.33606,0.198828,-3.38488e-16,-0.000594456,0,0.000594456,1.10946,0.985799
1,0.974459,0,3.34392,38.5996,1.20364e-07,0,0,0,0,0,0,0.998654,0.000194975,0,0.998654,1.33757,0.201852,0.000610043,-8.85493e-05,0,0.000616436,1.10996,0.71993
2,0.972682,0,3.33892,21.2673,1.20394e-07,0,0,0,0,0,0,0.997309,0.000390634,0,0.997309,1.33557,0.197847,0.000245383,-3.56135e-05,0,0.000247954,1.11033,0.45606
3,0.97055,0,3.33218,9.03354,1.20409e-07,0,0,0,0,0,0,0.995963,0.000585561,0,0.995963,1.33287,0.192456,8.97551e-05,-1.2972e-05,0,9.06877e-05,1.11052,0.275472
4,0.970495,0,3.33218,2.88594,1.20415e-07,0,0,0,0,0,0,0.994617,0.000779617,0,0.994618,1.33287,0.192456,5.0035e-05,-7.21126e-06,0,5.0552e-05,1.11058,0.205656
5,0.970055,0,3.33066,0.36902,1.20414e-07,0,0,0,0,0,0,0.993272,0.000973484,0,0.993272,1.33226,0.191236,4.3732e-05,-6.30115e-06,0,4.41836e-05,1.11058,0.192223
6,0.969746,0,3.32951,-0.492554,1.20412e-07,0,0,0,0,0,0,0.991926,0.00116744,0,0.991926,1.3318,0.19032,4.667e-05,-6.7211e-06,0,4.71515e-05,1.11055,0.198546
7,0.969313,0,3.32794,-0.663158,1.2041e-07,0,0,0,0,0,0,0.99058,0.00136111,0,0.990581,1.33118,0.189064,4.99249e-05,-7.17523e-06,0,5.04379e-05,1.11052,0.205307
8,0.968899,0,3.32645,-0.601736,1.20408e-07,0,0,0,0,0,0,0.989234,0.0015543,0,0.989235,1.33058,0.187874,5.3259e-05,-7.63483e-06,0,5.38035e-05,1.1105,0.212004
9,0.968455,0,3.32488,-0.501886,1.20407e-07,0,0,0,0,0,0,0.987888,0.001747,0,0.98789,1.32995,0.186618,5.67502e-05,-8.11586e-06,0,5.73276e-05,1.11048,0.218789
10,0.96803,0,3.32339,-0.426979,1.20406e-07,0,0,0,0,0,0,0.986542,0.00193928,0,0.986544,1.32936,0.185426,6.04384e-05,-8.62599e-06,0,6.10509e-05,1.11047,0.225734
11,0.967578,0,3.32182,-0.384003,1.20405e-07,0,0,0,0,0,0,0.985196,0.00213123,0,0.985198,1.32873,0.184167,6.42287e-05,-9.15361e-06,0,6.48777e-05,1.11047,0.232649
12,0.967139,0,3.32029,-0.362692,1.20405e-07,0,0,0,0,0,0,0.98385,0.00232296,0,0.983853,1.32811,0.182941,6.81843e-05,-9.70664e-06,0,6.88718e-05,1.11046,0.23965
