Eddy_Viscosity,Mach,Nu_Tilde,Points_0,Points_1,Points_2,Pressure_Coefficient
0,0,0,1,0,0,-0.607372
0,0,0,0.992739,0.00151925,0,-0.568306
0,0,0,0.985523,0.00298981,0,-0.591057
0,0,0,0.978353,0.00442412,0,-0.584032
0,0,0,0.971231,0.0058254,0,-0.58743
0,0,0,0.964156,0.00719657,0,-0.589545
0,0,0,0.957129,0.00853886,0,-0.593121
0,0,0,0.950149,0.00985441,0,-0.597148
0,0,0,0.943216,0.0111454,0,-0.60162
0,0,0,0.936331,0.0124123,0,-0.606332
0,0,0,0.929492,0.0136555,0,-0.611142
0,0,0,0.9227,0.0148758,0,-0.61594
0,0,0,0.915955,0.0160741,0,-0.620632
0,0,0,0.909257,0.0172512,0,-0.625161
0,0,0,0.902604,0.0184074,0,-0.629473
0,0,0,0.895997,0.0195429,0,-0.63353
0,0,0,0.889435,0.0206585,0,-0.637301
0,0,0,0.882919,0.0217549,0,-0.64078
0,0,0,0.876448,0.0228325,0,-0.643964
0,0,0,0.870022,0.0238914,0,-0.646851
0,0,0,0.86364,0.0249318,0,-0.649446
0,0,0,0.857303,0.0259541,0,-0.651752
0,0,0,0.851009,0.0269588,0,-0.6538
0,0,0,0.844759,0.0279463,0,-0.655587
0,0,0,0.838553,0.0289166,0,-0.657158
0,0,0,0.832389,0.0298701,0,-0.658498
0,0,0,0.826269,0.0308068,0,-0.659657
0,0,0,0.82019,0.0317268,0,-0.660623
0,0,0,0.814155,0.0326299,0,-0.661432
0,0,0,0.80816,0.0335165,0,-0.662085
0,0,0,0.802208,0.0343865,0,-0.662608
0,0,0,0.796297,0.0352404,0,-0.663013
0,0,0,0.790427,0.0360781,0,-0.663318
0,0,0,0.784597,0.0368999,0,-0.663532
0,0,0,0.778808,0.0377056,0,-0.66367
0,0,0,0.77306,0.0384955,0,-0.663738
0,0,0,0.767351,0.0392698,0,-0.663749
0,0,0,0.761682,0.0400286,0,-0.66371
0,0,0,0.756052,0.0407722,0,-0.663636
0,0,0,0.750462,0.0415009,0,-0.663531
0,0,0,0.74491,0.0422147,0,-0.663404
0,0,0,0.739397,0.0429137,0,-0.663258
0,0,0,0.733922,0.0435979,0,-0.663097
0,0,0,0.728485,0.0442674,0,-0.662927
0,0,0,0.723086,0.0449225,0,-0.662748
0,0,0,0.717725,0.0455634,0,-0.662573
0,0,0,0.712401,0.0461902,0,-0.662391
0,0,0,0.707114,0.0468031,0,-0.662226
0,0,0,0.701864,0.0474024,0,-0.662053
0,0,0,0.696651,0.0479881,0,-0.661909
0,0,0,0.691474,0.0485606,0,-0.661753
0,0,0,0.686333,0.0491198,0,-0.661631
0,0,0,0.681227,0.0496661,0,-0.661504
0,0,0,0.676158,0.0501994,0,-0.661401
0,0,0,0.671124,0.0507198,0,-0.661303
0,0,0,0.666124,0.0512276,0,-0.661221
