Eddy_Viscosity,Mach,Nu_Tilde,Points_0,Points_1,Points_2,Pressure_Coefficient
0,0,0,1,0,0,-0.00313031
0,0,0,0.992739,0.00151925,0,0.0227871
0,0,0,0.985523,0.00298981,0,-0.0176621
0,0,0,0.978353,0.00442412,0,-0.0281163
0,0,0,0.971231,0.0058254,0,-0.0320643
0,0,0,0.964156,0.00719657,0,-0.0370745
0,0,0,0.957129,0.00853886,0,-0.0412393
0,0,0,0.950149,0.00985441,0,-0.0463135
0,0,0,0.943216,0.0111454,0,-0.0513181
0,0,0,0.936331,0.0124123,0,-0.0565484
0,0,0,0.929492,0.0136555,0,-0.0618304
0,0,0,0.9227,0.0148758,0,-0.067252
0,0,0,0.915955,0.0160741,0,-0.0727817
0,0,0,0.909257,0.0172512,0,-0.0784307
0,0,0,0.902604,0.0184074,0,-0.0842006
0,0,0,0.895997,0.0195429,0,-0.0900859
0,0,0,0.889435,0.0206585,0,-0.0960959
0,0,0,0.882919,0.0217549,0,-0.102224
0,0,0,0.876448,0.0228325,0,-0.108476
0,0,0,0.870022,0.0238914,0,-0.11485
0,0,0,0.86364,0.0249318,0,-0.121348
0,0,0,0.857303,0.0259541,0,-0.127971
0,0,0,0.851009,0.0269588,0,-0.134721
0,0,0,0.844759,0.0279463,0,-0.141599
0,0,0,0.838553,0.0289166,0,-0.148603
0,0,0,0.832389,0.0298701,0,-0.155741
0,0,0,0.826269,0.0308068,0,-0.163006
0,0,0,0.82019,0.0317268,0,-0.170414
0,0,0,0.814155,0.0326299,0,-0.177948
0,0,0,0.80816,0.0335165,0,-0.185635
0,0,0,0.802208,0.0343865,0,-0.193452
0,0,0,0.796297,0.0352404,0,-0.201425
0,0,0,0.790427,0.0360781,0,-0.209537
0,0,0,0.784597,0.0368999,0,-0.217806
0,0,0,0.778808,0.0377056,0,-0.226224
0,0,0,0.77306,0.0384955,0,-0.234802
0,0,0,0.767351,0.0392698,0,-0.243539
0,0,0,0.761682,0.0400286,0,-0.252441
0,0,0,0.756052,0.0407722,0,-0.261511
0,0,0,0.750462,0.0415009,0,-0.270752
0,0,0,0.74491,0.0422147,0,-0.280171
0,0,0,0.739397,0.0429137,0,-0.289771
