"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,        -4.4094536,      -15.16341798,      -15.38327533,      -3.466728298,       -10.4597536,      0.3129657959,      0.4970769486,                 0,                 0,                 0,      0.2229029639,      0.2903621184,       0.510610343,                 0,       1.588278832,    0.001104962882
          0,           0,          10,      -4.405102893,      -4.072843835,      -4.108141703,      -3.431200267,      -11.00668344,     0.04329380225,        0.33324606,                 0,                 0,                 0,    0.001049134169,      0.0283075293,      0.3348521668,                 0,       7.697315613,    0.001187023339
          0,           0,          20,        -5.0043478,      -4.404927871,      -4.586527908,      -3.983009829,      -11.48017657,     0.05240702618,       0.304681363,                 0,                 0,                 0,    0.003551996749,      0.0386924258,      0.3067248368,                 0,       5.813750277,    0.001719977389
          0,           0,          30,      -5.453714433,      -4.843541583,      -5.071991107,       -4.43754077,      -11.73449288,     0.02541332076,      0.3424662073,                 0,                 0,                 0,    -0.00483425968,     0.01003160158,      0.3432612809,                 0,       13.47585428,    0.001719977389
          0,           0,          40,      -5.781257378,      -5.236342161,      -5.469108376,      -4.783226182,       -11.5225255,     0.02300798777,      0.3306813171,                 0,                 0,                 0,    0.002808672219,    0.008157121465,      0.3313803892,                 0,        14.3724571,    0.002879325991
          0,           0,          50,       -6.03037183,      -5.451901108,      -5.761315513,      -5.029033461,      -11.23873055,     0.01879191803,       0.340672776,                 0,                 0,                 0,   -0.004864550299,     0.00349727607,      0.3411727503,                 0,       18.12868572,    0.002879325991
          0,           0,          60,      -6.284681521,      -5.660635243,       -6.04075834,      -5.273292814,      -11.02704765,      0.0152590278,      0.3386019496,                 0,                 0,                 0,   -0.001324524394,  6.079497492e-005,      0.3389455922,                 0,       22.19027018,    0.004197548594
          0,           0,          70,      -6.506706696,       -5.81654674,      -6.289809553,      -5.490172672,      -10.88084406,     0.01404854026,      0.3385013851,                 0,                 0,                 0,   -0.004475051466,    -0.00114396574,      0.3387908508,                 0,       24.09512867,    0.004197548594
          0,           0,          80,      -6.666238913,       -5.91046742,      -6.439625157,      -5.633563411,      -10.83491955,     0.01250367327,      0.3358549627,                 0,                 0,                 0,   -0.005558757411,   -0.002568613503,      0.3360778185,                 0,       26.86050375,    0.004197548594
          0,           0,          90,      -6.777522815,      -6.020790069,       -6.48083279,      -5.751984483,      -10.77762125,     0.01174027297,      0.3320083474,                 0,                 0,                 0,   -0.007722140571,   -0.003158764034,      0.3322008413,                 0,       28.27944021,    0.005548019306
          0,           0,         100,      -6.862561094,      -6.079222137,      -6.526483579,      -5.835525782,      -10.74288045,     0.01115548357,      0.3276549749,                 0,                 0,                 0,   -0.009807152058,   -0.003547760357,      0.3278256256,                 0,       29.37165143,    0.005548019306
          0,           0,         110,      -7.052628889,      -6.110091153,      -6.699509452,       -5.96887208,      -10.87060468,     0.01086051027,      0.3259257494,                 0,                 0,                 0,    -0.01036064004,   -0.003764898635,      0.3260849128,                 0,       30.01016908,    0.005548019306
          0,           0,         120,      -6.880856417,      -6.077254234,      -6.487824164,      -5.839917623,      -11.10135823,     0.01079388274,      0.3296809611,                 0,                 0,                 0,   -0.008319439109,   -0.003999842544,      0.3298333598,                 0,       30.54331504,    0.005548019306
          0,           0,         130,      -6.707890738,      -6.121039411,      -6.310318431,      -5.723600252,       -11.1473512,     0.01083212625,      0.3380738362,                 0,                 0,                 0,   -0.005221115599,   -0.004337973371,      0.3382195082,                 0,        31.2102932,    0.005548019306
          0,           0,         140,      -6.808892865,      -6.317159039,      -6.418341852,      -5.853365928,      -11.07563467,     0.01066700025,      0.3455123875,                 0,                 0,                 0,   -0.003214288168,   -0.004836477341,      0.3456431733,                 0,       32.39077335,    0.005548019306
