"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,        -4.4094536,      -15.40880658,      -15.65758001,      -3.811735646,      -10.46218095,      0.2167361823,       0.230956514,                 0,                 0,                 0,     0.08431243344,      0.2061621137,       0.240442648,                 0,       1.065611249,    0.001104962882
          0,           0,          10,      -3.992992817,      -3.946814218,      -4.145767534,      -3.364170108,      -10.34559228,      0.1378784887,      0.2979901709,                 0,                 0,                 0,      0.0789322853,      0.1243779524,      0.3038729086,                 0,       2.161252083,    0.001187023339
          0,           0,          20,      -4.017107896,      -4.126825506,      -4.214728603,       -3.40207836,      -10.42972469,      0.1130885513,      0.3097729764,                 0,                 0,                 0,     0.07418105034,     0.09908460899,      0.3145322839,                 0,       2.739207221,    0.001187023339
          0,           0,          30,      -4.260555846,      -4.433013697,      -4.503650159,       -3.65361887,      -10.66068237,     0.08518882902,      0.3136173284,                 0,                 0,                 0,     0.07770315302,     0.07104056821,      0.3171217478,                 0,        3.68143725,    0.001719977389
          0,           0,          40,      -4.601162507,      -4.909273459,      -4.854886129,      -3.999433964,      -10.86016243,     0.07844138729,      0.3558272765,                 0,                 0,                 0,      0.1058158652,     0.06240722237,      0.3589866857,                 0,       4.536218555,    0.001719977389
          0,           0,          50,      -4.897898347,      -5.223446956,      -5.186256179,      -4.294396274,      -10.54662154,     0.07875547007,       0.387812865,                 0,                 0,                 0,       0.121531218,     0.06128675795,      0.3909541861,                 0,       4.924265764,    0.001719977389
          0,           0,          60,      -5.222926333,      -5.475968844,      -5.517266819,      -4.618214385,      -9.799702324,     0.07876588394,      0.3882680249,                 0,                 0,                 0,       0.116473915,     0.06127675201,      0.3914093552,                 0,       4.929393355,    0.001719977389
          0,           0,          70,       -5.39024378,      -5.610759908,      -5.702916025,      -4.780690789,      -9.352251247,     0.07821380989,      0.3684248174,                 0,                 0,                 0,      0.1015554362,     0.06161500111,      0.3715613513,                 0,       4.710482944,    0.001719977389
          0,           0,          80,      -5.491226711,      -5.706639062,       -5.84194887,      -4.878764633,      -9.721151428,      0.0773672878,         0.3600749,                 0,                 0,                 0,      0.1001336726,     0.06114374013,      0.3631818743,                 0,        4.65409749,    0.001719977389
          0,           0,          90,      -5.531576841,      -5.836111213,      -5.912127879,      -4.914830492,      -10.25566356,     0.07675896179,      0.3540336901,                 0,                 0,                 0,     0.09731486799,     0.06080691335,      0.3571194635,                 0,       4.612278252,    0.001719977389
          0,           0,         100,      -5.549384261,      -5.820809263,      -5.867457867,      -4.936293573,      -10.12321213,     0.07610172522,      0.3438103323,                 0,                 0,                 0,     0.08949503275,     0.06060875241,      0.3468769181,                 0,       4.517773169,    0.009883904456
          0,           0,         110,       -5.44688292,      -5.674134501,      -5.803175013,      -4.834028618,      -10.21803091,     0.07497886515,      0.3277990568,                 0,                 0,                 0,     0.07757182691,     0.06020496608,       0.330831398,                 0,       4.371886079,      0.0164858711
          0,           0,         120,      -5.429616124,      -5.695607265,      -5.760121649,      -4.815595756,      -10.55983656,     0.07367016929,      0.3111439093,                 0,                 0,                 0,     0.06626040441,     0.05964440204,      0.3141343207,                 0,       4.223472164,     0.02192848915
          0,           0,         130,      -5.460472807,      -5.689975901,      -5.849042856,      -4.845330674,      -10.66328031,     0.07261248403,      0.2986647116,                 0,                 0,                 0,     0.05875841994,     0.05914734687,      0.3016202483,                 0,       4.113131724,      0.0273711072
          0,           0,         140,       -5.54647158,      -5.803151772,      -5.907714792,      -4.931097966,      -10.39195713,     0.07196711078,      0.2912776381,                 0,                 0,                 0,     0.05498669215,     0.05883385855,      0.2942116663,                 0,       4.047371569,     0.03689568879
          0,           0,         150,      -5.615576925,      -5.866241936,      -5.942369239,      -5.000882018,      -10.16040235,     0.07153043336,      0.2855065556,                 0,                 0,                 0,     0.05179322661,     0.05865639524,      0.2884268079,                 0,       3.991399775,     0.06274812451
          0,           0,         160,      -5.622054156,       -5.87580728,      -5.941644527,      -5.008490822,      -10.07009577,     0.07102479641,      0.2780228448,                 0,                 0,                 0,     0.04693590051,     0.05848683588,      0.2809279515,                 0,       3.914447613,      0.1008464508
          0,           0,         170,      -5.586689684,      -5.840827753,      -5.904461592,       -4.97337717,      -10.20726104,     0.07033132591,      0.2674090722,                 0,                 0,                 0,     0.03970966062,     0.05826998361,      0.2702937593,                 0,       3.802133242,      0.1389447771
          0,           0,         180,      -5.564929554,      -5.843239853,      -5.901039639,       -4.95068197,      -10.45750572,     0.06965129492,      0.2565368283,                 0,                 0,                 0,     0.03283847445,     0.05807814718,      0.2594019583,                 0,       3.683159496,       0.202895539
          0,           0,         190,      -5.590792345,      -5.827913749,      -5.945392706,       -4.97461205,      -10.34848469,      0.0691229474,      0.2479535046,                 0,                 0,                 0,     0.02806173891,     0.05793520664,      0.2508035768,                 0,       3.587137325,      0.2600430284
          0,           0,         200,      -5.626252069,      -5.871642907,      -5.964932599,      -5.010953918,      -10.25669126,     0.06866264272,      0.2399763366,                 0,                 0,                 0,     0.02337261005,     0.05783306054,      0.2428137923,                 0,        3.49500583,       0.283174155
          0,           0,         210,      -5.619959391,      -5.827935255,      -5.963925582,      -5.003512499,      -10.24023772,     0.06819812198,      0.2315499347,                 0,                 0,                 0,     0.01812354893,     0.05774684622,      0.2343750367,                 0,       3.395253828,       0.288818079
          0,           0,         220,      -5.630886728,      -5.874272165,      -5.969875156,       -5.01551427,      -10.27076882,     0.06774578729,       0.223228643,                 0,                 0,                 0,     0.01313181725,     0.05766809257,      0.2260418321,                 0,       3.295092609,      0.2956213515
          0,           0,         230,      -5.635221517,      -5.904682538,      -5.974930936,      -5.020398586,      -10.23857795,     0.06728341785,      0.2150744555,                 0,                 0,                 0,    0.008302841048,     0.05757182133,      0.2178751136,                 0,       3.196544742,      0.3024246241
          0,           0,         240,      -5.650587308,      -5.940280916,      -5.971894858,      -5.035712438,      -10.35070633,     0.06683187152,      0.2066467429,                 0,                 0,                 0,    0.003139813513,     0.05749862715,      0.2094356304,                 0,       3.092038846,      0.3092278967
