"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.913174811,      -14.70614873,      -14.98011431,      -3.219057309,      -15.99741253,     -0.6893241739,      0.1283665983,      0.2667682272,                 0,                 0,                 0,     0.06864644747,      0.1177469555,      0.2716227624,                 0,        2.07817478,    0.001206259712
          0,           0,          10,      -3.901858125,      -3.536955149,      -3.930786778,      -3.155495795,      -9.740727765,      -2.153142018,     0.03558912787,      0.2525211901,                 0,                 0,                 0,     0.03579146107,     0.02560347101,      0.2537282005,                 0,       7.095458787,    0.001354653033
          0,           0,          20,      -4.081818877,      -3.700475997,      -3.982259257,      -3.330064666,      -9.338078221,       -2.41313134,     0.01253174757,       0.403952698,                 0,                 0,                 0,     0.01560748032,   -0.003407556957,      0.4041326706,                 0,       32.23434686,    0.003753094052
          0,           0,          30,      -4.479606692,      -4.316051523,      -4.523023164,      -3.773812477,      -7.255764426,      -2.532749122,     0.01957657425,      0.3633257835,                 0,                 0,                 0,    -0.01377743918,    0.005233880457,      0.3638151642,                 0,       18.55921158,    0.003753094052
          0,           0,          40,      -4.813686991,      -4.603219576,      -4.925673548,      -4.087842909,        -6.7828827,      -2.493129601,      0.0122895277,      0.3868610921,                 0,                 0,                 0,   0.0002448926962,   -0.002975594383,      0.3870448073,                 0,       31.47892266,    0.003753094052
          0,           0,          50,      -4.911294683,      -4.930476568,      -5.129916962,      -4.200790847,      -6.792151722,      -2.362847802,     0.01966064627,      0.4314689891,                 0,                 0,                 0,    0.002733944451,     0.00263071336,      0.4319086813,                 0,       21.94581924,    0.003753094052
          0,           0,          60,       -5.01773282,      -5.020008022,      -5.349626345,       -4.30410821,      -6.790450776,      -2.560406216,     0.02157412634,      0.4535568077,                 0,                 0,                 0,    0.009235304906,    0.003671689314,      0.4540547758,                 0,       21.02318307,    0.003753094052
          0,           0,          70,      -5.238021108,      -5.002833722,      -5.394873706,      -4.540318998,      -6.775087721,      -2.841492553,     0.02529835494,      0.4774426958,                 0,                 0,                 0,     0.01418254393,    0.006451099878,      0.4780689467,                 0,       18.87247993,     0.08783817698
          0,           0,          80,      -5.181641153,      -4.858301309,      -5.390497327,      -4.483274311,      -6.840956392,      -3.101631513,     0.02846109557,      0.4870246376,                 0,                 0,                 0,     0.02083150716,    0.009233524098,      0.4877681556,                 0,       17.11194273,      0.1466659173
          0,           0,          90,      -5.057486796,      -4.875931577,      -5.344535399,      -4.358046461,      -6.900166477,      -3.312665585,     0.03070036753,      0.4939882744,                 0,                 0,                 0,     0.02903053459,     0.01119644873,      0.4948146798,                 0,       16.09063064,      0.2094608266
          0,           0,         100,      -4.999138843,      -4.858262394,      -5.257225165,      -4.296938944,      -6.933206137,      -3.419843411,     0.03197757813,      0.4706028908,                 0,                 0,                 0,     0.02592636821,     0.01339485009,      0.4714978519,                 0,       14.71665206,      0.3773597286
          0,           0,         110,      -4.857459276,      -4.912046096,      -5.021612415,      -4.155630973,      -7.004713193,      -3.427551323,     0.02897266672,      0.3917165081,                 0,                 0,                 0,    0.004795543153,     0.01350309846,      0.3925543331,                 0,       13.52020896,      0.5877800632
          0,           0,         120,      -4.842829678,      -4.998516155,      -5.035806426,       -4.14201535,      -7.193458502,       -3.37186314,     0.02579725626,      0.3083158808,                 0,                 0,                 0,    -0.01167631376,     0.01361899607,      0.3090933577,                 0,       11.95149894,      0.6206457939
          0,           0,         130,      -4.891802924,      -5.090508931,      -5.101477853,      -4.193323939,      -7.253975108,      -3.407117415,     0.02378257906,      0.2521135169,                 0,                 0,                 0,    -0.01672105183,     0.01382218197,      0.2528552625,                 0,       10.60076438,       0.635148087
          0,           0,         140,      -4.942312127,      -5.080186807,      -5.166042091,      -4.240988389,      -7.208956984,      -3.419024665,      0.0230726696,      0.2020483717,                 0,                 0,                 0,    -0.02089051427,     0.01508710433,      0.2028010648,                 0,       8.757043515,      0.3991332354
          0,           0,         150,      -4.952785201,      -4.810522388,      -5.072696429,      -4.234391111,      -7.118134102,       -3.29050174,     0.02224410919,      0.1314663833,                 0,                 0,                 0,    -0.02785348771,      0.0170425336,      0.1322413036,                 0,       5.910166245,      0.2814277636
          0,           0,         160,      -5.213097876,      -5.017046577,      -5.394809312,      -4.492339605,      -7.181172251,      -3.400425571,      0.0220125422,       0.109522491,                 0,                 0,                 0,    -0.02765942752,     0.01767648687,      0.1103053483,                 0,       4.975458536,      0.1664323125
          0,           0,         170,      -5.427631755,      -5.204455569,      -5.601642212,      -4.720145482,      -7.234642269,      -3.623576404,     0.02115000894,      0.1208347098,                 0,                 0,                 0,    -0.02671195983,     0.01636853606,      0.1215747548,                 0,       5.713222634,     0.08143059508
