Eddy_Viscosity,Mach,Nu_Tilde,Points_0,Points_1,Points_2,Pressure_Coefficient
0,0,0,1,0,0,0.233792
0,0,0,0.998654,0.000194975,0,0.234824
0,0,0,0.997309,0.000390634,0,0.228405
0,0,0,0.995963,0.000585561,0,0.222469
0,0,0,0.994617,0.000779617,0,0.222347
0,0,0,0.993272,0.000973484,0,0.219956
0,0,0,0.991926,0.00116744,0,0.218261
0,0,0,0.99058,0.00136111,0,0.216159
0,0,0,0.989234,0.0015543,0,0.214278
0,0,0,0.987888,0.001747,0,0.212279
0,0,0,0.986542,0.00193928,0,0.210393
0,0,0,0.985196,0.00213123,0,0.208397
0,0,0,0.98385,0.00232296,0,0.206476
0,0,0,0.982504,0.0025145,0,0.20449
0,0,0,0.981157,0.00270573,0,0.202504
0,0,0,0.979811,0.00289654,0,0.200579
0,0,0,0.978465,0.00308689,0,0.198572
0,0,0,0.977119,0.00327687,0,0.196622
0,0,0,0.975772,0.00346661,0,0.194631
0,0,0,0.974426,0.0036562,0,0.192649
0,0,0,0.973079,0.00384561,0,0.19064
0,0,0,0.971733,0.00403475,0,0.188632
0,0,0,0.970386,0.00422352,0,0.186653
0,0,0,0.96904,0.00441184,0,0.184617
0,0,0,0.967693,0.00459975,0,0.182666
0,0,0,0.966346,0.00478729,0,0.180597
0,0,0,0.965,0.0049745,0,0.178657
0,0,0,0.963653,0.00516142,0,0.1766
0,0,0,0.962306,0.00534807,0,0.174611
0,0,0,0.960959,0.00553444,0,0.172585
0,0,0,0.959612,0.00572054,0,0.170597
0,0,0,0.958265,0.00590635,0,0.168531
0,0,0,0.956918,0.00609189,0,0.16656
0,0,0,0.955571,0.00627712,0,0.164514
0,0,0,0.954224,0.00646204,0,0.162464
0,0,0,0.952877,0.00664662,0,0.160519
0,0,0,0.95153,0.00683087,0,0.158422
0,0,0,0.950183,0.00701476,0,0.156443
0,0,0,0.948835,0.00719833,0,0.154443
0,0,0,0.947488,0.00738157,0,0.1524
0,0,0,0.946141,0.0075645,0,0.15038
0,0,0,0.944793,0.00774713,0,0.148436
0,0,0,0.943446,0.00792947,0,0.146328
0,0,0,0.942099,0.00811152,0,0.14442
