"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -3.973157448,      -4.008316268,      -3.844573182,      -3.256804216,      0.1120562202,      0.1892878554,                 0,                 0,                 0,     0.07771664392,      0.1043356894,      0.1936505941,                 0,       1.689222205
          0,           0,          10,      -3.885318014,      -3.694750433,      -3.886523811,      -3.145834657,     0.06691135022,      0.3700932875,                 0,                 0,                 0,      0.1298198195,     0.05193992819,      0.3724894818,                 0,       5.531098778
          0,           0,          20,      -3.815233886,      -3.677917121,       -3.82313174,      -3.075864574,     0.01254765055,      0.6026142467,                 0,                 0,                 0,      0.1513473585,    -0.01175162683,      0.6026302956,                 0,       48.02606229
          0,           0,          30,      -3.992336994,      -3.749461203,      -3.981718312,      -3.248032108,    0.004030748313,      0.7052544459,                 0,                 0,                 0,      0.1071325207,     -0.0243986428,       0.704843803,                 0,       174.9686141
          0,           0,          40,      -4.335917439,      -4.059028363,      -4.328276422,      -3.591942548,     0.02212022136,      0.6709785458,                 0,                 0,                 0,     0.08208548186,   -0.004942338967,       0.671324874,                 0,       30.33326543
          0,           0,          50,      -4.711378964,      -4.412245297,      -4.711949131,      -3.961189439,    0.006308187112,      0.6796378629,                 0,                 0,                 0,      0.1000476386,    -0.02109054799,      0.6793398315,                 0,       107.7390145
          0,           0,          60,      -4.844604559,       -4.59804721,      -4.928973001,      -4.102682746,    0.001226774235,      0.7174821286,                 0,                 0,                 0,      0.1007397928,    -0.02769318954,      0.7169485317,                 0,       584.8526224
          0,           0,          70,      -5.022951926,      -4.923603535,      -5.092834957,       -4.28877932,     0.01036458042,      0.7304844808,                 0,                 0,                 0,     0.09466499872,    -0.01908688415,      0.7303086279,                 0,       70.47892446
          0,           0,          80,       -5.11332389,      -5.107477644,       -5.21841035,      -4.396022442,    0.008966674555,      0.7437828536,                 0,                 0,                 0,      0.1018434751,    -0.02101966072,        0.74353985,                 0,       82.94968765
          0,           0,          90,      -5.096997332,      -4.999339975,      -5.206961159,      -4.372817217,    0.005380616434,      0.7742211816,                 0,                 0,                 0,      0.1097322146,    -0.02582965758,      0.7738089027,                 0,        143.890796
          0,           0,         100,      -5.131189359,      -5.172418062,      -5.255635833,      -4.416853747,    0.008720302229,      0.8029007066,                 0,                 0,                 0,      0.1116318346,    -0.02364864791,       0.802599732,                 0,       92.07257794
          0,           0,         110,       -5.09781419,      -5.165558205,      -5.324575325,      -4.383084728,     0.01074023848,      0.8237641482,                 0,                 0,                 0,       0.116230431,    -0.02247127883,      0.8235276354,                 0,       76.69886935
          0,           0,         120,      -5.093197733,      -5.232081862,      -5.323231519,      -4.378671931,    0.009222222598,      0.8480265953,                 0,                 0,                 0,       0.123484873,     -0.0249659878,      0.8477091808,                 0,       91.95468731
          0,           0,         130,      -5.148296993,      -5.232964754,      -5.383594981,      -4.428940732,      0.0101878539,      0.8711581248,                 0,                 0,                 0,      0.1258076973,    -0.02493348488,       0.870860834,                 0,       85.50948346
          0,           0,         140,      -5.150152449,      -5.200083327,      -5.464751163,      -4.427726894,     0.01152034747,      0.8826676711,                 0,                 0,                 0,      0.1260527205,    -0.02406598003,      0.8824147351,                 0,       76.61814661
          0,           0,         150,      -5.298634646,      -5.336719999,      -5.619176909,      -4.570379371,     0.01031790663,      0.8905441231,                 0,                 0,                 0,       0.128290273,    -0.02558491345,      0.8902363206,                 0,       86.31054292
          0,           0,         160,      -5.506227218,      -5.606468341,      -5.770458641,      -4.783810428,     0.01019597167,      0.8987080729,                 0,                 0,                 0,      0.1283647236,    -0.02603580699,      0.8983887214,                 0,       88.14344551
          0,           0,         170,       -5.63566407,      -5.624764068,      -5.885278567,      -4.906874694,     0.01089161598,       0.901134165,                 0,                 0,                 0,       0.127402617,    -0.02543851449,      0.9008408808,                 0,       82.73649809
          0,           0,         180,      -5.976277508,       -5.74792337,      -6.038662782,        -5.2449973,     0.01027706552,      0.9031576471,                 0,                 0,                 0,      0.1286912575,     -0.0261341244,      0.9028379484,                 0,       87.88088831
