"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -4.294516771,      -15.39389604,      -15.61221627,      -3.578163539,      -10.46155368,      0.3371358487,      0.8881488473,                 0,                 0,                 0,      0.3740971461,      0.1859253925,      0.9316118848,                 0,       2.634394564,    0.001189093668
          0,           0,          10,      -4.079828485,      -3.693111596,      -3.994999589,      -3.297247998,      -10.42426802,      0.2661460894,       1.133501366,                 0,                 0,                 0,         0.1876752,     0.07541436915,       1.161882852,                 0,       4.258944284,    0.001453497978
          0,           0,          20,      -4.256986754,      -4.123803792,      -4.220787044,      -3.518882106,      -10.45843418,      0.2226810534,       1.222707093,                 0,                 0,                 0,      0.1317519315,     0.01782223834,       1.242691375,                 0,        5.49084475,    0.002423992004
          0,           0,          30,      -4.482771115,      -4.593490905,      -4.599258858,      -3.762530199,      -9.436453303,      0.1890816693,        1.06611951,                 0,                 0,                 0,     0.04172854308,     0.01052805525,       1.082705799,                 0,       5.638407541,    0.003693334835
          0,           0,          40,       -4.54459889,       -4.76155764,      -4.765148308,      -3.820231098,      -8.103760278,      0.1470966981,      0.8838153739,                 0,                 0,                 0,    -0.01591537796,  -0.0007922561198,      0.8959723356,                 0,       6.008397098,    0.005031664328
          0,           0,          50,       -4.84126828,      -4.725075056,       -4.96577043,      -4.113492741,      -7.873138552,      0.1259787941,       0.802043649,                 0,                 0,                 0,    -0.06161020004,   -0.008124313301,      0.8118366011,                 0,        6.36649727,    0.006385760758
          0,           0,          60,       -4.65834191,      -4.668953287,      -4.914481696,      -3.930239623,      -8.213016095,      0.1495225731,      0.9554252091,                 0,                 0,                 0,    0.009448333477,    -0.01021868235,      0.9670004698,                 0,       6.389839267,    0.007743904872
          0,           0,          70,      -4.710934687,      -4.671252131,      -4.955980198,      -3.964833842,      -8.308659735,      0.1864477225,       1.126772903,                 0,                 0,                 0,     0.09198566066,   -0.002080465844,       1.142092641,                 0,       6.043371771,    0.007743904872
          0,           0,          80,      -4.714742464,      -4.582330623,      -4.791757063,      -3.987960551,      -7.685330962,      0.1828600952,       1.077669995,                 0,                 0,                 0,     0.09859858176,    0.002485426454,        1.09307102,                 0,       5.893412631,     0.01862787182
          0,           0,          90,      -4.639044745,      -4.734742592,      -4.756925325,      -3.912194633,      -8.032981283,      0.1332606238,      0.8283983933,                 0,                 0,                 0,    -0.03483480983,   -0.005292137012,      0.8390317546,                 0,       6.216377874,     0.02406969226
          0,           0,         100,      -5.009324467,      -4.817394136,      -5.134035462,       -4.27584898,      -8.088971331,      0.1260540402,      0.8079032708,                 0,                 0,                 0,    -0.02150763912,   -0.009017215734,       0.817628281,                 0,       6.409181883,     0.02543034673
          0,           0,         110,      -5.060621441,      -5.053721149,      -5.226225274,      -4.338202858,      -8.504586553,      0.1407394273,      0.8837666436,                 0,                 0,                 0,    0.003512095023,   -0.007054297943,      0.8948750212,                 0,       6.279453175,     0.02815165567
          0,           0,         120,      -5.217625534,      -5.038731813,      -5.282971144,      -4.489228063,      -8.290241162,      0.1545842199,      0.9376780812,                 0,                 0,                 0,     0.04130143752,   -0.002297332043,      0.9503321457,                 0,       6.065807246,     0.07169259894
          0,           0,         130,      -4.854746901,      -4.838433266,      -4.968467937,      -4.128044761,      -7.957321781,      0.1410638951,       0.854700925,                 0,                 0,                 0,     0.01684754961,    -0.00193705274,      0.8662614742,                 0,       6.058963027,      0.1070690428
          0,           0,         140,      -4.929272997,      -4.960797894,      -5.076770558,      -4.199442985,      -8.207258976,      0.1193470274,       0.740074035,                 0,                 0,                 0,    -0.03605209705,   -0.004437192919,       0.749622306,                 0,       6.201026126,      0.1655771856
          0,           0,         150,      -5.347488452,      -5.038665568,      -5.358165877,      -4.622062885,      -8.317954546,      0.1223503374,      0.7654392748,                 0,                 0,                 0,    -0.01459985592,   -0.005661543621,      0.7751353659,                 0,       6.256127209,      0.2172820559
