"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -3.928812609,      -3.990719586,      -3.840415195,      -3.283780204,     0.09627253856,        0.17365568,                 0,                 0,                 0,     0.04867454419,     0.08934967962,       0.177317037,                 0,       1.803792469
          0,           0,          10,       -3.79293852,      -3.740299335,      -3.906958475,      -3.139776874,     0.06298325618,      0.1598409548,                 0,                 0,                 0,    0.006279310603,      0.0566310635,      0.1622003207,                 0,       2.537832505
          0,           0,          20,      -3.734248537,      -3.736952965,      -3.884033408,      -3.084355581,     0.04893489495,      0.2571472044,                 0,                 0,                 0,     0.03012184429,      0.0387564341,      0.2588768964,                 0,       5.254884161
          0,           0,          30,      -3.845775658,      -3.590341375,      -3.978786653,      -3.154285718,     0.03104982223,      0.3809600435,                 0,                 0,                 0,     0.06326309539,     0.01600281102,      0.3818881462,                 0,        12.2693148
          0,           0,          40,      -3.998897676,      -3.951028554,      -4.114244133,      -3.329291955,     0.02915916062,       0.484257327,                 0,                 0,                 0,     0.07262079082,     0.01004017289,      0.4850305251,                 0,       16.60738227
          0,           0,          50,      -4.237541569,      -4.191573928,       -4.40174731,      -3.582636974,     0.03826740099,      0.4825453501,                 0,                 0,                 0,     0.03512799537,     0.01920883905,      0.4836790561,                 0,       12.60982814
          0,           0,          60,      -4.521744757,      -4.630454343,      -4.715772838,      -3.877663383,     0.03989698599,      0.4303694602,                 0,                 0,                 0,    0.007034332843,     0.02289467169,      0.4316080117,                 0,       10.78701685
          0,           0,          70,      -4.742844486,      -4.812078816,      -4.969931897,      -4.096656513,     0.03669403485,      0.4043486699,                 0,                 0,                 0,     0.01075742964,      0.0207203213,      0.4054811553,                 0,       11.01946601
          0,           0,          80,      -4.848583712,      -4.780193515,      -5.085738679,      -4.189228006,     0.03415211173,      0.4109864776,                 0,                 0,                 0,     0.02398867637,     0.01791861864,      0.4120135612,                 0,       12.03399898
          0,           0,          90,      -4.900988824,      -5.023734538,      -5.103508444,      -4.258391362,     0.03277976851,      0.4344990093,                 0,                 0,                 0,       0.034558898,     0.01562014468,      0.4354536868,                 0,       13.25509694
