Points_0,Points_1,Points_2,Pressure_Coefficient
1,0,0,0.267349
0.998654,0.000194975,0,0.265375
0.997309,0.000390634,0,0.25529
0.995963,0.000585561,0,0.249433
0.994617,0.000779617,0,0.247908
0.993272,0.000973484,0,0.243666
0.991926,0.00116744,0,0.240764
0.99058,0.00136111,0,0.237389
0.989234,0.0015543,0,0.23437
0.987888,0.001747,0,0.231213
0.986542,0.00193928,0,0.228238
0.985196,0.00213123,0,0.225154
0.98385,0.00232296,0,0.222205
0.982504,0.0025145,0,0.219161
0.981157,0.00270573,0,0.216192
0.979811,0.00289654,0,0.213295
0.978465,0.00308689,0,0.210344
0.977119,0.00327687,0,0.207492
0.975772,0.00346661,0,0.204602
0.974426,0.0036562,0,0.201747
0.973079,0.00384561,0,0.198862
0.971733,0.00403475,0,0.196022
0.970386,0.00422352,0,0.193213
0.96904,0.00441184,0,0.190395
0.967693,0.00459975,0,0.187677
0.966346,0.00478729,0,0.184851
0.965,0.0049745,0,0.182205
0.963653,0.00516142,0,0.179421
0.962306,0.00534807,0,0.176748
0.960959,0.00553444,0,0.174051
0.959612,0.00572054,0,0.171402
0.958265,0.00590635,0,0.168687
0.956918,0.00609189,0,0.166115
0.955571,0.00627712,0,0.163426
0.954224,0.00646204,0,0.160811
0.952877,0.00664662,0,0.158294
0.95153,0.00683087,0,0.155624
0.950183,0.00701476,0,0.153133
0.948835,0.00719833,0,0.150615
0.947488,0.00738157,0,0.148046
0.946141,0.0075645,0,0.145573
0.944793,0.00774713,0,0.143145
0.943446,0.00792947,0,0.140573
0.942099,0.00811152,0,0.138263
0.940751,0.0082933,0,0.135748
0.939404,0.0084748,0,0.133348
0.938056,0.00865603,0,0.130978
0.936708,0.00883701,0,0.12854
0.935361,0.0090177,0,0.126211
0.934013,0.0091981,0,0.123815
0.932665,0.00937819,0,0.121487
0.931318,0.00955795,0,0.119183
0.92997,0.00973737,0,0.116827
0.928622,0.00991644,0,0.114572
0.927274,0.0100952,0,0.112321
0.925926,0.0102736,0,0.110048
0.924578,0.0104517,0,0.107828
0.92323,0.0106295,0,0.105614
0.921882,0.0108071,0,0.103374
0.920534,0.0109844,0,0.10119
0.919186,0.0111615,0,0.0990129
0.917838,0.0113383,0,0.0968094
0.916489,0.0115148,0,0.0946883
0.915141,0.0116911,0,0.0925075
0.913793,0.011867,0,0.0903807
0.912445,0.0120427,0,0.0882692
0.911096,0.0122181,0,0.0861378
0.909748,0.0123932,0,0.0839993
0.9084,0.012568,0,0.0819414
0.907051,0.0127425,0,0.0798736
0.905703,0.0129168,0,0.0777983
0.904354,0.0130908,0,0.0757964
0.903006,0.0132646,0,0.0736783
0.901657,0.0134381,0,0.0717052
0.900308,0.0136113,0,0.069673
0.89896,0.0137842,0,0.0676519
0.897611,0.0139567,0,0.0657153
0.896262,0.014129,0,0.063653
0.894913,0.014301,0,0.0617778
0.893565,0.0144726,0,0.0598041
0.892216,0.0146438,0,0.0578933
0.890867,0.0148148,0,0.0560075
0.889518,0.0149855,0,0.0541127
0.888169,0.0151559,0,0.0522028
0.88682,0.0153261,0,0.0503536
0.885471,0.0154961,0,0.0484743
0.884122,0.0156658,0,0.0465889
0.882773,0.0158353,0,0.0447358
0.881424,0.0160046,0,0.0428445
0.880075,0.0161736,0,0.0410102
0.878725,0.0163424,0,0.0391745
0.877376,0.0165109,0,0.0372613
0.876027,0.0166791,0,0.0355215
0.874678,0.0168471,0,0.033633
0.873328,0.0170147,0,0.0318337
0.871979,0.017182,0,0.0300616
0.870629,0.0173491,0,0.0282728
0.86928,0.0175158,0,0.0265166
0.867931,0.0176822,0,0.0247776
0.866581,0.0178484,0,0.0230383
0.865231,0.0180143,0,0.0212539
0.863882,0.0181798,0,0.0195742
0.862532,0.0183451,0,0.0178432
0.861183,0.0185101,0,0.0161375
0.859833,0.0186749,0,0.014454
0.858483,0.0188394,0,0.0127613
0.857134,0.0190036,0,0.0110789
0.855784,0.0191676,0,0.00941258
0.854434,0.0193313,0,0.00774383
0.853084,0.0194948,0,0.0060005
0.851734,0.019658,0,0.00444867
0.850384,0.019821,0,0.0026661
0.849034,0.0199838,0,0.00105958
0.847684,0.0201463,0,-0.000562355
0.846334,0.0203086,0,-0.00231561
0.844984,0.0204706,0,-0.00386599
0.843634,0.0206323,0,-0.00552526
0.842284,0.0207938,0,-0.00718763
0.840934,0.020955,0,-0.00875783
0.839584,0.0211159,0,-0.0103848
0.838234,0.0212765,0,-0.0119694
0.836884,0.0214369,0,-0.0135485
0.835533,0.021597,0,-0.0151506
0.834183,0.0217568,0,-0.0167058
0.832833,0.0219163,0,-0.0182613
0.831483,0.0220756,0,-0.0198686
0.830132,0.0222347,0,-0.0213807
0.828782,0.0223934,0,-0.0229309
