Points_0,Points_1,Points_2,Pressure_Coefficient
1,0,0,0.233792
0.998654,0.000194975,0,0.234824
0.997309,0.000390634,0,0.228405
0.995963,0.000585561,0,0.222469
0.994617,0.000779617,0,0.222347
0.993272,0.000973484,0,0.219956
0.991926,0.00116744,0,0.218261
0.99058,0.00136111,0,0.216159
0.989234,0.0015543,0,0.214278
0.987888,0.001747,0,0.212279
0.986542,0.00193928,0,0.210393
0.985196,0.00213123,0,0.208397
0.98385,0.00232296,0,0.206476
0.982504,0.0025145,0,0.20449
0.981157,0.00270573,0,0.202504
0.979811,0.00289654,0,0.200579
0.978465,0.00308689,0,0.198572
0.977119,0.00327687,0,0.196622
0.975772,0.00346661,0,0.194631
0.974426,0.0036562,0,0.192649
0.973079,0.00384561,0,0.19064
0.971733,0.00403475,0,0.188632
0.970386,0.00422352,0,0.186653
0.96904,0.00441184,0,0.184617
0.967693,0.00459975,0,0.182666
0.966346,0.00478729,0,0.180597
0.965,0.0049745,0,0.178657
0.963653,0.00516142,0,0.1766
0.962306,0.00534807,0,0.174611
0.960959,0.00553444,0,0.172585
0.959612,0.00572054,0,0.170597
0.958265,0.00590635,0,0.168531
0.956918,0.00609189,0,0.16656
0.955571,0.00627712,0,0.164514
0.954224,0.00646204,0,0.162464
0.952877,0.00664662,0,0.160519
0.95153,0.00683087,0,0.158422
0.950183,0.00701476,0,0.156443
0.948835,0.00719833,0,0.154443
0.947488,0.00738157,0,0.1524
0.946141,0.0075645,0,0.15038
0.944793,0.00774713,0,0.148436
0.943446,0.00792947,0,0.146328
0.942099,0.00811152,0,0.14442
0.940751,0.0082933,0,0.142367
0.939404,0.0084748,0,0.140356
0.938056,0.00865603,0,0.13839
0.936708,0.00883701,0,0.136349
0.935361,0.0090177,0,0.134377
0.934013,0.0091981,0,0.132365
0.932665,0.00937819,0,0.130367
0.931318,0.00955795,0,0.128404
0.92997,0.00973737,0,0.126381
0.928622,0.00991644,0,0.124417
0.927274,0.0100952,0,0.122461
0.925926,0.0102736,0,0.12047
0.924578,0.0104517,0,0.118513
0.92323,0.0106295,0,0.116556
0.921882,0.0108071,0,0.114584
0.920534,0.0109844,0,0.112621
0.919186,0.0111615,0,0.110696
0.917838,0.0113383,0,0.108704
0.916489,0.0115148,0,0.106801
0.915141,0.0116911,0,0.104828
0.913793,0.011867,0,0.102899
0.912445,0.0120427,0,0.100964
0.911096,0.0122181,0,0.099029
0.909748,0.0123932,0,0.0970713
0.9084,0.012568,0,0.0951623
0.907051,0.0127425,0,0.0932648
0.905703,0.0129168,0,0.0913178
0.904354,0.0130908,0,0.0894659
0.903006,0.0132646,0,0.0874971
0.901657,0.0134381,0,0.0856357
0.900308,0.0136113,0,0.0837478
0.89896,0.0137842,0,0.0818209
0.897611,0.0139567,0,0.0800072
0.896262,0.014129,0,0.0780484
0.894913,0.014301,0,0.0762533
0.893565,0.0144726,0,0.0743694
0.892216,0.0146438,0,0.0725244
0.890867,0.0148148,0,0.0707006
0.889518,0.0149855,0,0.0688638
0.888169,0.0151559,0,0.0670194
0.88682,0.0153261,0,0.0652058
0.885471,0.0154961,0,0.0633861
0.884122,0.0156658,0,0.0615443
0.882773,0.0158353,0,0.0597388
0.881424,0.0160046,0,0.0579031
0.880075,0.0161736,0,0.0560886
0.878725,0.0163424,0,0.0543109
0.877376,0.0165109,0,0.0524288
0.876027,0.0166791,0,0.0507067
0.874678,0.0168471,0,0.0488623
0.873328,0.0170147,0,0.047077
0.871979,0.017182,0,0.0453147
0.870629,0.0173491,0,0.0435384
0.86928,0.0175158,0,0.0417781
0.867931,0.0176822,0,0.0400278
0.866581,0.0178484,0,0.0382904
0.865231,0.0180143,0,0.036499
0.863882,0.0181798,0,0.0347994
0.862532,0.0183451,0,0.0330538
0.861183,0.0185101,0,0.0313232
0.859833,0.0186749,0,0.0296098
0.858483,0.0188394,0,0.0278909
0.857134,0.0190036,0,0.0261765
0.855784,0.0191676,0,0.0244619
0.854434,0.0193313,0,0.022785
0.853084,0.0194948,0,0.0209917
0.851734,0.019658,0,0.0193988
0.850384,0.019821,0,0.0176124
0.849034,0.0199838,0,0.0159257
0.847684,0.0201463,0,0.0142976
0.846334,0.0203086,0,0.0125005
0.844984,0.0204706,0,0.0108946
0.843634,0.0206323,0,0.00920453
0.842284,0.0207938,0,0.00749647
0.840934,0.020955,0,0.00586801
0.839584,0.0211159,0,0.00419686
0.838234,0.0212765,0,0.00254583
0.836884,0.0214369,0,0.000914165
0.835533,0.021597,0,-0.000746178
0.834183,0.0217568,0,-0.00237142
0.832833,0.0219163,0,-0.00398724
0.831483,0.0220756,0,-0.00564726
0.830132,0.0222347,0,-0.0072494
0.828782,0.0223934,0,-0.00884244
0.827431,0.0225519,0,-0.0105133
0.826081,0.0227101,0,-0.0120462
0.82473,0.0228681,0,-0.0137211
0.82338,0.0230258,0,-0.0152849
0.822029,0.0231833,0,-0.0168858
0.820679,0.0233405,0,-0.0184989
0.819328,0.0234975,0,-0.0200882
0.817977,0.0236542,0,-0.0216558
0.816627,0.0238107,0,-0.0233023
