Points_0,Points_1,Points_2,Pressure_Coefficient
1,0,0,-0.703155
0.998654,0.000194975,0,-0.657444
0.997309,0.000390634,0,-0.665875
0.995963,0.000585561,0,-0.669259
0.994617,0.000779617,0,-0.667148
0.993272,0.000973484,0,-0.66592
0.991926,0.00116744,0,-0.664612
0.99058,0.00136111,0,-0.663365
0.989234,0.0015543,0,-0.662204
0.987888,0.001747,0,-0.661059
0.986542,0.00193928,0,-0.659989
0.985196,0.00213123,0,-0.658969
0.98385,0.00232296,0,-0.658034
0.982504,0.0025145,0,-0.657148
0.981157,0.00270573,0,-0.656336
0.979811,0.00289654,0,-0.655574
0.978465,0.00308689,0,-0.654871
0.977119,0.00327687,0,-0.654219
0.975772,0.00346661,0,-0.65362
0.974426,0.0036562,0,-0.653068
0.973079,0.00384561,0,-0.652562
0.971733,0.00403475,0,-0.652099
0.970386,0.00422352,0,-0.651681
0.96904,0.00441184,0,-0.651295
0.967693,0.00459975,0,-0.650962
0.966346,0.00478729,0,-0.650646
0.965,0.0049745,0,-0.65039
0.963653,0.00516142,0,-0.650143
0.962306,0.00534807,0,-0.649954
0.960959,0.00553444,0,-0.649774
0.959612,0.00572054,0,-0.649648
0.958265,0.00590635,0,-0.649526
0.956918,0.00609189,0,-0.649458
0.955571,0.00627712,0,-0.649395
0.954224,0.00646204,0,-0.649372
0.952877,0.00664662,0,-0.649371
0.95153,0.00683087,0,-0.649388
0.950183,0.00701476,0,-0.649436
0.948835,0.00719833,0,-0.649504
0.947488,0.00738157,0,-0.649592
0.946141,0.0075645,0,-0.6497
0.944793,0.00774713,0,-0.649837
0.943446,0.00792947,0,-0.649978
0.942099,0.00811152,0,-0.650157
0.940751,0.0082933,0,-0.650335
0.939404,0.0084748,0,-0.650544
0.938056,0.00865603,0,-0.650759
0.936708,0.00883701,0,-0.650998
0.935361,0.0090177,0,-0.651244
0.934013,0.0091981,0,-0.651512
0.932665,0.00937819,0,-0.651786
0.931318,0.00955795,0,-0.652083
0.92997,0.00973737,0,-0.65238
0.928622,0.00991644,0,-0.652703
0.927274,0.0100952,0,-0.653026
0.925926,0.0102736,0,-0.653369
0.924578,0.0104517,0,-0.653713
0.92323,0.0106295,0,-0.654075
0.921882,0.0108071,0,-0.654437
0.920534,0.0109844,0,-0.654817
0.919186,0.0111615,0,-0.6552
0.917838,0.0113383,0,-0.655594
0.916489,0.0115148,0,-0.655996
0.915141,0.0116911,0,-0.656404
0.913793,0.011867,0,-0.656818
0.912445,0.0120427,0,-0.657239
0.911096,0.0122181,0,-0.657663
0.909748,0.0123932,0,-0.658094
0.9084,0.012568,0,-0.658531
0.907051,0.0127425,0,-0.658975
0.905703,0.0129168,0,-0.65942
0.904354,0.0130908,0,-0.659875
0.903006,0.0132646,0,-0.660327
0.901657,0.0134381,0,-0.660789
0.900308,0.0136113,0,-0.661253
0.89896,0.0137842,0,-0.661717
0.897611,0.0139567,0,-0.66219
0.896262,0.014129,0,-0.662656
0.894913,0.014301,0,-0.663134
0.893565,0.0144726,0,-0.663606
0.892216,0.0146438,0,-0.664084
0.890867,0.0148148,0,-0.664558
0.889518,0.0149855,0,-0.665038
0.888169,0.0151559,0,-0.665512
0.88682,0.0153261,0,-0.665992
0.885471,0.0154961,0,-0.666468
0.884122,0.0156658,0,-0.666947
0.882773,0.0158353,0,-0.667424
0.881424,0.0160046,0,-0.667904
0.880075,0.0161736,0,-0.668379
0.878725,0.0163424,0,-0.668861
0.877376,0.0165109,0,-0.669332
0.876027,0.0166791,0,-0.669813
0.874678,0.0168471,0,-0.670284
0.873328,0.0170147,0,-0.670757
0.871979,0.017182,0,-0.671229
0.870629,0.0173491,0,-0.671697
0.86928,0.0175158,0,-0.672165
0.867931,0.0176822,0,-0.672628
0.866581,0.0178484,0,-0.673093
0.865231,0.0180143,0,-0.673549
0.863882,0.0181798,0,-0.674009
0.862532,0.0183451,0,-0.674461
0.861183,0.0185101,0,-0.674912
0.859833,0.0186749,0,-0.67536
0.858483,0.0188394,0,-0.675804
0.857134,0.0190036,0,-0.676247
0.855784,0.0191676,0,-0.676682
0.854434,0.0193313,0,-0.677121
0.853084,0.0194948,0,-0.677547
0.851734,0.019658,0,-0.67798
0.850384,0.019821,0,-0.678402
0.849034,0.0199838,0,-0.678825
0.847684,0.0201463,0,-0.679243
0.846334,0.0203086,0,-0.679657
0.844984,0.0204706,0,-0.680067
0.843634,0.0206323,0,-0.680474
0.842284,0.0207938,0,-0.680874
0.840934,0.020955,0,-0.681274
0.839584,0.0211159,0,-0.681666
0.838234,0.0212765,0,-0.682055
0.836884,0.0214369,0,-0.682439
0.835533,0.021597,0,-0.682819
0.834183,0.0217568,0,-0.683193
0.832833,0.0219163,0,-0.683564
0.831483,0.0220756,0,-0.683928
0.830132,0.0222347,0,-0.684288
0.828782,0.0223934,0,-0.684645
0.827431,0.0225519,0,-0.684993
0.826081,0.0227101,0,-0.685342
0.82473,0.0228681,0,-0.68568
0.82338,0.0230258,0,-0.686019
0.822029,0.0231833,0,-0.686348
0.820679,0.0233405,0,-0.686676
0.819328,0.0234975,0,-0.686996
0.817977,0.0236542,0,-0.687315
0.816627,0.0238107,0,-0.687625
0.815276,0.0239669,0,-0.687933
0.813925,0.0241229,0,-0.688236
0.812575,0.0242786,0,-0.688533
0.811224,0.0244341,0,-0.688827
0.809873,0.0245893,0,-0.689114
0.808522,0.0247443,0,-0.689398
0.807171,0.024899,0,-0.689676
0.80582,0.0250534,0,-0.689948
0.80447,0.0252075,0,-0.690217
0.803119,0.0253614,0,-0.690479
0.801768,0.025515,0,-0.690738
0.800417,0.0256684,0,-0.690989
0.799065,0.0258215,0,-0.691238
0.797714,0.0259743,0,-0.691481
0.796363,0.0261268,0,-0.691718
0.795012,0.0262791,0,-0.691952
0.793661,0.0264311,0,-0.692178
0.79231,0.0265828,0,-0.692402
0.790959,0.0267343,0,-0.692618
0.789607,0.0268855,0,-0.692832
0.788256,0.0270364,0,-0.693038
0.786905,0.0271871,0,-0.693242
0.785553,0.0273375,0,-0.693439
0.784202,0.0274877,0,-0.693633
0.782851,0.0276377,0,-0.69382
0.781499,0.0277874,0,-0.694006
0.780148,0.0279369,0,-0.694185
0.778796,0.0280862,0,-0.694361
0.777445,0.0282352,0,-0.694532
0.776093,0.028384,0,-0.694699
0.774742,0.0285325,0,-0.694862
0.77339,0.0286808,0,-0.69502
0.772038,0.0288288,0,-0.695174
0.770687,0.0289766,0,-0.695324
0.769335,0.0291241,0,-0.695469
0.767983,0.0292713,0,-0.69561
0.766632,0.0294183,0,-0.695746
0.76528,0.029565,0,-0.695878
0.763928,0.0297114,0,-0.696005
0.762576,0.0298576,0,-0.696127
0.761224,0.0300034,0,-0.696246
0.759872,0.0301491,0,-0.69636
0.758521,0.0302944,0,-0.696469
0.757169,0.0304395,0,-0.696576
0.755817,0.0305844,0,-0.696677
0.754465,0.030729,0,-0.696775
0.753113,0.0308734,0,-0.69687
0.751761,0.0310175,0,-0.696961
0.750409,0.0311614,0,-0.697047
0.749056,0.031305,0,-0.697131
0.747704,0.0314483,0,-0.69721
0.746352,0.0315914,0,-0.697287
0.745,0.0317342,0,-0.697359
0.743648,0.0318768,0,-0.697428
0.742296,0.032019,0,-0.697492
0.740943,0.032161,0,-0.697553
0.739591,0.0323028,0,-0.69761
0.738239,0.0324442,0,-0.697664
0.736886,0.0325854,0,-0.697713
0.735534,0.0327263,0,-0.69776
0.734182,0.0328669,0,-0.697802
0.732829,0.0330073,0,-0.697841
0.731477,0.0331474,0,-0.697878
0.730124,0.0332873,0,-0.697911
0.728772,0.033427,0,-0.697941
0.727419,0.0335663,0,-0.697968
0.726067,0.0337055,0,-0.697992
0.724714,0.0338444,0,-0.698014
0.723361,0.0339831,0,-0.698033
0.722009,0.0341215,0,-0.698049
0.720656,0.0342597,0,-0.698062
0.719303,0.0343976,0,-0.698073
0.717951,0.0345353,0,-0.698081
0.716598,0.0346727,0,-0.698087
0.715245,0.0348098,0,-0.698089
0.713892,0.0349467,0,-0.698089
0.71254,0.0350834,0,-0.698087
0.711187,0.0352197,0,-0.698082
0.709834,0.0353558,0,-0.698074
0.708481,0.0354917,0,-0.698065
0.707128,0.0356272,0,-0.698053
0.705775,0.0357625,0,-0.698038
0.704422,0.0358976,0,-0.698021
0.703069,0.0360323,0,-0.698002
0.701716,0.0361668,0,-0.69798
0.700363,0.036301,0,-0.697956
0.69901,0.0364349,0,-0.697929
0.697657,0.0365686,0,-0.6979
0.696304,0.0367019,0,-0.697869
0.694951,0.036835,0,-0.697836
0.693597,0.0369678,0,-0.697801
0.692244,0.0371004,0,-0.697764
0.690891,0.0372326,0,-0.697725
0.689538,0.0373646,0,-0.697684
0.688184,0.0374964,0,-0.697642
0.686831,0.0376278,0,-0.697597
0.685478,0.037759,0,-0.697552
0.684124,0.03789,0,-0.697505
0.682771,0.0380207,0,-0.697456
0.681417,0.0381511,0,-0.697406
0.680064,0.0382813,0,-0.697355
