Eddy_Viscosity,Mach,Nu_Tilde,Pressure_Coefficient
0,0,0,0.2277
0,0,0,0.200548
0,0,0,0.169592
0,0,0,0.149977
0,0,0,0.131117
0,0,0,0.111341
0,0,0,0.0931706
0,0,0,0.0754078
0,0,0,0.0583584
0,0,0,0.0418392
0,0,0,0.0259218
0,0,0,0.0105329
0,0,0,-0.00438203
0,0,0,-0.0188719
0,0,0,-0.0329186
0,0,0,-0.0465487
0,0,0,-0.0598248
0,0,0,-0.0728116
0,0,0,-0.0855117
0,0,0,-0.0979242
0,0,0,-0.11006
0,0,0,-0.121967
0,0,0,-0.133677
0,0,0,-0.145216
0,0,0,-0.156597
0,0,0,-0.167837
0,0,0,-0.178929
0,0,0,-0.189867
0,0,0,-0.200635
0,0,0,-0.21125
0,0,0,-0.221722
0,0,0,-0.232075
0,0,0,-0.242307
0,0,0,-0.252413
0,0,0,-0.262377
0,0,0,-0.272197
0,0,0,-0.281887
0,0,0,-0.291471
0,0,0,-0.300971
0,0,0,-0.310391
0,0,0,-0.319723
0,0,0,-0.328951
0,0,0,-0.338062
0,0,0,-0.347059
0,0,0,-0.355952
0,0,0,-0.36475
0,0,0,-0.373462
0,0,0,-0.382098
0,0,0,-0.390668
0,0,0,-0.399178
0,0,0,-0.407636
0,0,0,-0.416048
0,0,0,-0.424412
0,0,0,-0.432725
0,0,0,-0.440988
0,0,0,-0.449196
0,0,0,-0.457357
0,0,0,-0.465472
0,0,0,-0.473554
0,0,0,-0.481615
0,0,0,-0.48966
0,0,0,-0.497676
0,0,0,-0.505649
0,0,0,-0.513564
0,0,0,-0.521412
0,0,0,-0.529181
0,0,0,-0.536863
0,0,0,-0.544446
0,0,0,-0.551919
0,0,0,-0.559264
0,0,0,-0.566466
0,0,0,-0.573504
0,0,0,-0.580364
0,0,0,-0.587027
0,0,0,-0.593459
0,0,0,-0.599609
0,0,0,-0.605466
0,0,0,-0.611039
0,0,0,-0.616334
0,0,0,-0.621356
0,0,0,-0.626104
0,0,0,-0.630571
0,0,0,-0.634772
0,0,0,-0.638717
0,0,0,-0.642423
0,0,0,-0.645898
0,0,0,-0.649154
0,0,0,-0.652193
0,0,0,-0.655026
0,0,0,-0.657655
0,0,0,-0.66009
0,0,0,-0.662336
0,0,0,-0.664402
0,0,0,-0.666291
0,0,0,-0.668015
0,0,0,-0.669582
0,0,0,-0.671008
0,0,0,-0.672306
0,0,0,-0.673488
0,0,0,-0.674553
0,0,0,-0.675502
0,0,0,-0.676339
0,0,0,-0.677086
0,0,0,-0.67775
0,0,0,-0.67834
0,0,0,-0.67886
0,0,0,-0.679315
0,0,0,-0.679716
0,0,0,-0.680066
0,0,0,-0.68037
0,0,0,-0.680622
0,0,0,-0.680825
0,0,0,-0.680981
0,0,0,-0.681112
0,0,0,-0.681232
0,0,0,-0.681354
0,0,0,-0.681471
0,0,0,-0.681582
0,0,0,-0.681677
0,0,0,-0.681759
0,0,0,-0.681832
0,0,0,-0.681906
0,0,0,-0.681983
0,0,0,-0.68206
0,0,0,-0.682123
0,0,0,-0.682167
0,0,0,-0.682188
0,0,0,-0.682192
0,0,0,-0.682181
0,0,0,-0.682158
0,0,0,-0.682123
0,0,0,-0.682076
0,0,0,-0.682014
0,0,0,-0.681934
0,0,0,-0.681841
0,0,0,-0.68174
0,0,0,-0.681636
0,0,0,-0.681529
0,0,0,-0.681418
0,0,0,-0.681298
0,0,0,-0.681169
0,0,0,-0.681031
0,0,0,-0.68089
0,0,0,-0.680748
0,0,0,-0.680602
0,0,0,-0.680443
0,0,0,-0.680269
0,0,0,-0.68008
0,0,0,-0.679886
0,0,0,-0.679688
0,0,0,-0.67948
0,0,0,-0.679253
0,0,0,-0.679011
0,0,0,-0.67876
0,0,0,-0.678503
0,0,0,-0.678238
0,0,0,-0.677969
0,0,0,-0.677695
0,0,0,-0.677424
0,0,0,-0.677153
0,0,0,-0.67689
0,0,0,-0.676633
0,0,0,-0.676388
0,0,0,-0.676155
0,0,0,-0.675944
0,0,0,-0.67575
0,0,0,-0.67557
0,0,0,-0.675397
0,0,0,-0.675226
0,0,0,-0.675052
0,0,0,-0.674874
0,0,0,-0.674691
0,0,0,-0.674504
0,0,0,-0.674309
0,0,0,-0.674109
0,0,0,-0.673902
0,0,0,-0.673686
0,0,0,-0.673451
0,0,0,-0.673195
0,0,0,-0.672922
0,0,0,-0.67264
0,0,0,-0.67235
0,0,0,-0.672048
0,0,0,-0.671735
0,0,0,-0.671411
0,0,0,-0.671078
0,0,0,-0.670733
0,0,0,-0.670375
0,0,0,-0.670003
0,0,0,-0.669619
0,0,0,-0.669225
0,0,0,-0.668824
0,0,0,-0.668418
0,0,0,-0.668011
0,0,0,-0.667607
0,0,0,-0.667211
0,0,0,-0.66682
0,0,0,-0.666432
0,0,0,-0.66604
0,0,0,-0.665646
0,0,0,-0.665251
0,0,0,-0.664858
0,0,0,-0.664467
0,0,0,-0.664073
0,0,0,-0.663665
0,0,0,-0.663238
0,0,0,-0.662791
0,0,0,-0.662333
0,0,0,-0.661867
0,0,0,-0.6614
0,0,0,-0.66093
0,0,0,-0.660452
0,0,0,-0.659966
0,0,0,-0.659469
0,0,0,-0.65897
0,0,0,-0.658474
0,0,0,-0.657985
0,0,0,-0.657501
0,0,0,-0.657024
0,0,0,-0.65655
0,0,0,-0.656079
0,0,0,-0.655603
0,0,0,-0.655119
0,0,0,-0.654619
0,0,0,-0.654105
0,0,0,-0.653578
0,0,0,-0.653037
0,0,0,-0.652475
0,0,0,-0.65189
