"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -4.721708001,      -15.38789015,      -15.68834516,      -4.005354769,      -16.86016522,        1.67591205,       2.399467282,      0.1152873795,                 0,                 0,                 0,      0.0575369417,       2.392870622,      0.2119070645,                 0,     0.04804707294,   0.0005508812164
           1,      -4.900633802,      -4.158490764,      -4.900235887,      -4.111898223,        -10.521352,       4.933407068,        1.51854102,      0.2003756173,                 0,                 0,                 0,     0.07786163256,        1.50923064,      0.2614193813,                 0,      0.1319527195,   0.0006087062721
           2,      -5.166758349,      -4.448733316,       -5.27386374,      -4.420525761,      -10.47725451,       6.429157871,       1.068491094,       0.208403041,                 0,                 0,                 0,     0.07790831091,       1.059222881,      0.2513004865,                 0,      0.1950442471,   0.0006087062721
           3,      -5.178727286,      -4.677686092,      -5.072615127,      -4.418039172,       -10.5049289,       5.864575029,      0.7833528293,      0.2051066249,                 0,                 0,                 0,     0.07597285387,      0.7744491922,      0.2365139137,                 0,       0.261831728,   0.0006087062721
           4,      -4.932965668,       -4.70203215,      -4.771200635,      -4.189896612,      -10.51446699,       5.249346837,      0.5888953404,      0.2093828388,                 0,                 0,                 0,     0.07715070888,      0.5799773663,      0.2329488133,                 0,      0.3555518688,   0.0006087062721
           5,      -4.701940064,      -4.551892171,       -4.55150087,      -3.968334488,      -10.51800135,       4.570313073,      0.4463689934,      0.2193595973,                 0,                 0,                 0,      0.0814518714,      0.4371647147,      0.2371727712,                 0,      0.4914310817,   0.0006087062721
           6,      -4.521979605,      -4.414262227,      -4.392067655,      -3.794693088,      -10.51949951,       3.865598908,      0.3410820942,      0.2321989682,                 0,                 0,                 0,     0.08817355785,      0.3314458682,      0.2457579953,                 0,      0.6807714979,   0.0006087062721
           7,      -4.396399344,       -4.32462512,      -4.296002628,      -3.670611767,      -10.52023508,       3.239084103,      0.2637294642,      0.2491320814,                 0,                 0,                 0,      0.0963194904,      0.2534735877,      0.2595595589,                 0,       0.944650163,   0.0006087062721
           8,      -4.323439436,      -4.255480933,      -4.256505048,      -3.593256571,      -10.52064538,       3.236517145,      0.2095018854,      0.2710539396,                 0,                 0,                 0,      0.1050798024,       0.198406489,      0.2792778961,                 0,        1.29380191,   0.0005508812164
           9,       -4.29600047,      -4.173268177,       -4.26380184,      -3.553442797,       -10.5208955,       3.375108157,      0.1746348949,      0.2975008793,                 0,                 0,                 0,      0.1139775827,      0.1625018571,      0.3042979891,                 0,       1.703559185,   0.0005508812164
          10,      -4.303918211,      -4.087489513,      -4.301637802,      -3.541845823,      -10.52105406,       3.429807494,      0.1546029792,      0.3272035421,                 0,                 0,                 0,      0.1227097709,      0.1412890188,      0.3331691047,                 0,       2.116411623,   0.0005508812164
          11,      -4.327877322,      -4.029019683,      -4.340669708,      -3.549491855,      -10.52115275,       3.433147153,      0.1439504363,      0.3585726755,                 0,                 0,                 0,      0.1309843429,      0.1293807624,      0.3640833834,                 0,       2.490945388,   0.0005508812164
          12,      -4.335264658,      -4.013310165,      -4.345898602,      -3.561751865,      -10.52120944,       3.411305663,      0.1373759913,      0.3900457441,                 0,                 0,                 0,      0.1385005015,      0.1215431006,      0.3952658855,                 0,       2.839256995,   0.0006087062721
          13,      -4.308702581,      -4.039345538,      -4.307574373,       -3.55855358,      -10.52123805,       3.355605504,      0.1310242337,      0.4202186308,                 0,                 0,                 0,      0.1449560904,      0.1139803506,      0.4251582378,                 0,       3.207182511,   0.0006087062721
          14,      -4.270253152,      -4.090259857,      -4.252854156,      -3.535203111,      -10.52124696,       3.253072469,      0.1230034877,       0.448198772,                 0,                 0,                 0,      0.1501632276,      0.1048383498,       0.452792356,                 0,       3.643789134,   0.0006087062721
          15,      -4.246659132,      -4.130863346,      -4.214176793,      -3.510075875,      -10.52124334,       3.107738726,      0.1130626196,      0.4739775167,                 0,                 0,                 0,      0.1542026864,     0.09386651703,      0.4781494738,                 0,       4.192168185,   0.0006087062721
          16,      -4.248971509,      -4.131633315,      -4.208760188,      -3.502373395,      -10.52123354,       2.977481249,      0.1018622066,      0.4984201351,                 0,                 0,                 0,       0.157451796,     0.08169001713,      0.5021207836,                 0,       4.893082052,   0.0006087062721
          17,      -4.278545922,      -4.106450803,      -4.240920809,      -3.519922009,      -10.52122238,       2.955945027,     0.09030843391,       0.522625475,                 0,                 0,                 0,      0.1603463348,     0.06917000838,      0.5258407652,                 0,       5.787117021,   0.0006087062721
          18,      -4.331604564,      -4.084310975,      -4.303500445,      -3.560717832,      -10.52121296,       3.001387129,     0.07915431631,      0.5473476527,                 0,                 0,                 0,      0.1631447018,     0.05702849825,      0.5500932731,                 0,       6.914943849,   0.0006087062721
          19,      -4.400165837,      -4.078387081,      -4.373970794,      -3.616676271,      -10.52120701,       3.037668255,     0.06886782659,      0.5728275706,                 0,                 0,                 0,      0.1658508779,     0.04572336931,      0.5751378763,                 0,       8.317782032,   0.0006087062721
          20,      -4.472300648,      -4.091147136,      -4.420434158,      -3.677817829,      -10.52120496,       3.051204357,     0.05969460932,      0.5986897277,                 0,                 0,                 0,      0.1682266999,     0.03551520156,      0.6006092797,                 0,       10.02920924,   0.0006087062721
          21,      -4.534504765,       -4.12057745,      -4.437834228,        -3.7363564,      -10.52120631,       3.048790233,     0.05171692401,      0.6241874117,                 0,                 0,                 0,      0.1699172536,     0.02651628476,      0.6257646936,                 0,       12.06930659,   0.0006087062721
          22,      -4.580891982,      -4.162756497,      -4.455353077,      -3.790404588,      -10.52120983,        3.03839622,      0.0449175853,      0.6485697089,                 0,                 0,                 0,      0.1705826845,     0.01873971399,      0.6498531218,                 0,       14.43910452,    0.001024710601
          23,      -4.618504082,      -4.213309331,       -4.49503205,      -3.842550701,      -10.52121449,       3.028397589,     0.03926715011,      0.6712490834,                 0,                 0,                 0,      0.1699791244,     0.01217975144,       0.672286319,                 0,       17.09441815,    0.001024710601
          24,      -4.659097189,      -4.268236812,      -4.556673295,      -3.894242157,      -10.52121835,       3.027015055,     0.03477110376,      0.6917396914,                 0,                 0,                 0,      0.1679967176,    0.006861460463,      0.6925790573,                 0,       19.89409644,    0.001024710601
          25,      -4.709353094,      -4.325002436,       -4.62099465,      -3.943778707,      -10.52122067,       3.037099947,     0.03143877728,        0.70971334,                 0,                 0,                 0,      0.1646717188,    0.002807392717,      0.7104037868,                 0,       22.57445745,    0.001024710601
          26,       -4.76931308,       -4.38326866,      -4.664523529,      -3.990540341,      -10.52122148,       3.053495427,     0.02924130587,      0.7250252039,                 0,                 0,                 0,      0.1601479238, -5.455774263e-006,      0.7256146362,                 0,       24.79455627,    0.001024710601
          27,      -4.834559387,      -4.444732986,      -4.689039224,      -4.038788413,      -10.52122113,       3.071334136,     0.02809106296,      0.7376441257,                 0,                 0,                 0,      0.1546439444,   -0.001663384556,      0.7381769416,                 0,       26.25903216,    0.001024710601
          28,      -4.898608157,      -4.511900177,      -4.718965507,      -4.094984451,       -10.5212202,       3.087585816,     0.02784571665,      0.7476093512,                 0,                 0,                 0,      0.1484144819,   -0.002310191709,      0.7481241802,                 0,       26.84827116,    0.001024710601
          29,      -4.956481953,      -4.586581649,      -4.773468628,      -4.162474322,      -10.52121927,       3.099778199,     0.02833226098,      0.7550135276,                 0,                 0,                 0,      0.1417013315,   -0.002122476859,      0.7555419505,                 0,       26.64854486,    0.001024710601
          30,      -5.006404909,      -4.668436835,      -4.857102121,      -4.236751841,       -10.5212187,       3.107338793,     0.02936674859,       0.759974837,                 0,                 0,                 0,      0.1347261736,   -0.001288801351,      0.7605409245,                 0,       25.87875313,    0.001024710601
          31,      -5.048426487,      -4.753493346,      -4.957429927,      -4.303519064,      -10.52121873,       3.112502892,     0.03076955725,      0.7626272275,                 0,                 0,                 0,      0.1277006964,   5.95962077e-006,      0.7632477015,                 0,       24.78512191,    0.001024710601
          32,      -5.082803617,      -4.833437341,      -5.040546008,      -4.347200285,      -10.52121937,       3.117116936,     0.03237753782,      0.7631457985,                 0,                 0,                 0,      0.1208279576,    0.001591731884,      0.7638306626,                 0,       23.57022337,    0.001024710601
          33,      -5.110111532,      -4.898042389,      -5.078424866,       -4.36788543,      -10.52122047,        3.12200059,     0.03406095084,      0.7618471603,                 0,                 0,                 0,      0.1143302951,    0.003326120078,      0.7626009316,                 0,       22.36717242,    0.001024710601
          34,      -5.132105543,      -4.942108422,      -5.091415173,      -4.380015915,      -10.52122185,        3.12676316,     0.03571538738,      0.7591121151,                 0,                 0,                 0,      0.1084085107,    0.005089451411,       0.759934793,                 0,       21.25448359,     0.00175915116
