"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -4.121278649,      -15.36945817,      -15.67841849,      -3.404925417,      -10.10757756,      0.2593593876,      0.5243015994,                 0,                 0,                 0,      0.1726931179,      0.2079132671,      0.5467463145,                 0,       2.021525437,   0.0006650388134
           1,      -4.607897566,      -4.279261757,      -4.316944311,      -3.890628042,      -10.70781388,       0.311514828,      0.5973267586,                 0,                 0,                 0,      0.1822947138,      0.2528294428,      0.6244341578,                 0,       1.917490613,    0.001209066625
           2,      -4.712756176,      -4.379832487,      -4.636168723,      -3.973003511,      -10.98440647,      0.3193225083,      0.5454881976,                 0,                 0,                 0,      0.1573700292,       0.265569684,      0.5735825842,                 0,       1.708267295,    0.001209066625
           3,      -4.814044129,       -4.49433323,      -4.754005982,      -4.071338667,      -11.18596712,      0.3192568623,      0.5104175125,                 0,                 0,                 0,      0.1443407716,      0.2688657165,      0.5386670658,                 0,       1.598767553,    0.001209066625
           4,      -4.852360931,      -4.555806277,      -4.710341678,      -4.119339342,      -11.24778155,      0.3115957521,      0.4967955877,                 0,                 0,                 0,      0.1401397411,      0.2625454801,      0.5243735687,                 0,       1.594359308,    0.001209066625
           5,      -4.808381231,      -4.551873025,      -4.646444086,      -4.079006849,      -11.22928407,      0.3003310648,      0.4914807169,                 0,                 0,                 0,      0.1384251941,      0.2518420609,      0.5180034941,                 0,       1.636463139,    0.001209066625
           6,      -4.742497087,      -4.507740776,      -4.572954461,      -4.011949673,      -11.18101097,      0.2898998239,      0.4885937843,                 0,                 0,                 0,      0.1372109054,      0.2417355437,      0.5141300623,                 0,       1.685388345,    0.001209066625
           7,       -4.67485365,      -4.443620392,      -4.502377051,      -3.943728166,      -11.11466386,      0.2803025648,       0.486305721,                 0,                 0,                 0,      0.1360475974,      0.2324017696,      0.5109326762,                 0,       1.734931399,    0.001209066625
           8,      -4.611675041,      -4.372308371,      -4.441311058,      -3.881882443,       -11.0351677,      0.2708011145,        0.48430467,                 0,                 0,                 0,      0.1349364661,      0.2231358543,       0.508030164,                 0,       1.788414612,    0.001209066625
           9,       -4.55481389,      -4.300902905,      -4.390294019,      -3.827638747,      -10.94911607,       0.261049044,      0.4826067241,                 0,                 0,                 0,      0.1339732878,      0.2135914213,      0.5054053405,                 0,       1.848720519,    0.001209066625
          10,      -4.503695334,      -4.232774577,      -4.347345479,      -3.779674133,      -10.86280204,      0.2510481006,      0.4812270636,                 0,                 0,                 0,      0.1332275989,      0.2037687548,      0.5030734838,                 0,       1.916871956,    0.001209066625
          11,      -4.457102459,      -4.169320116,      -4.310071466,      -3.736186336,      -10.78006085,      0.2409641843,      0.4800991463,                 0,                 0,                 0,      0.1327080491,      0.1938393691,      0.5009842586,                 0,       1.992408738,    0.001209066625
          12,      -4.414450547,      -4.110903549,      -4.276513379,      -3.696125074,       -10.7021661,      0.2310242997,      0.4791400378,                 0,                 0,                 0,      0.1324013607,      0.1840371722,      0.4990768699,                 0,       2.073981128,    0.001209066625
          13,      -4.375411714,      -4.057435068,      -4.245205055,      -3.658763031,      -10.62948668,      0.2214613606,      0.4781959493,                 0,                 0,                 0,      0.1322257272,      0.1746087458,      0.4972205608,                 0,       2.159274864,    0.001230239262
          14,      -4.338989519,      -4.008713003,      -4.214808601,      -3.622839156,      -10.56227763,      0.2124750178,      0.4770089824,                 0,                 0,                 0,      0.1320206153,      0.1657775401,      0.4951777556,                 0,       2.245012083,    0.001230239262
          15,      -4.303713978,      -3.964685897,       -4.18418012,      -3.587013543,      -10.50103089,      0.2042007214,      0.4752888508,                 0,                 0,                 0,      0.1316064021,      0.1577062042,       0.492672487,                 0,       2.327557158,    0.001230239262
          16,        -4.2687578,      -3.925602698,      -4.152972507,      -3.551148421,      -10.44632324,      0.1966787719,      0.4727689401,                 0,                 0,                 0,      0.1308176472,       0.150460407,      0.4894432306,                 0,       2.403761909,    0.001230239262
          17,      -4.234626819,      -3.891980968,      -4.121835332,      -3.516636899,      -10.39858189,      0.1898401699,      0.4692639065,                 0,                 0,                 0,      0.1295261447,      0.1439892311,      0.4852988825,                 0,       2.471889415,    0.001230239262
          18,      -4.202786835,      -3.864551797,      -4.092141888,      -3.485561138,      -10.35787152,       0.183522547,      0.4647296574,                 0,                 0,                 0,      0.1276638651,      0.1381352819,      0.4801799909,                 0,       2.532275543,    0.001230239262
          19,      -4.174429261,      -3.844021059,      -4.065568253,      -3.459352054,      -10.32422889,      0.1775179341,       0.459308814,                 0,                 0,                 0,      0.1252423821,      0.1326778778,      0.4742085873,                 0,       2.587393868,    0.001230239262
          20,      -4.149964682,      -3.830814041,      -4.043646038,      -3.438396891,      -10.29781995,      0.1716304089,      0.4533391683,                 0,                 0,                 0,      0.1223581214,      0.1273896228,      0.4677021304,                 0,       2.641368574,    0.001230239262
          21,      -4.129105421,      -3.824933914,      -4.027393983,      -3.422221989,      -10.27846619,      0.1657176463,      0.4473302593,                 0,                 0,                 0,      0.1191868813,      0.1220800099,       0.461154172,                 0,       2.699351995,    0.001230239262
          22,      -4.110932621,       -3.82592604,      -4.017104253,       -3.40960545,      -10.26630177,       0.159710562,      0.4419163294,                 0,                 0,                 0,      0.1159693025,      0.1166194831,      0.4551894132,                 0,       2.766982495,    0.001230239262
          23,      -4.094160486,      -3.832895291,      -4.012202056,      -3.398777064,       -10.2613455,      0.1536172887,      0.4377889067,                 0,                 0,                 0,       0.112984326,      0.1109498579,      0.4504969781,                 0,       2.849867424,    0.001230239262
          24,      -4.077653086,      -3.844504844,      -4.011285534,       -3.38791083,      -10.26338899,      0.1475146347,      0.4356234544,                 0,                 0,                 0,      0.1105170155,      0.1050828488,      0.4477565816,                 0,       2.953086352,    0.001230239262
          25,      -4.060751023,      -3.858925074,      -4.012489666,      -3.375631164,      -10.27231152,      0.1415342354,      0.4360177399,                 0,                 0,                 0,      0.1088318348,     0.09909219144,       0.447575856,                 0,       3.080652103,    0.001230239262
          26,      -4.043204669,      -3.873781878,      -4.014037618,      -3.361205566,      -10.28667786,      0.1358388513,       0.439420562,                 0,                 0,                 0,      0.1081348117,     0.09309688178,      0.4504171339,                 0,       3.234866591,    0.001230239262
          27,      -4.024907718,      -3.886192973,      -4.014617257,      -3.344339768,      -10.30488926,      0.1306155961,      0.4461234127,                 0,                 0,                 0,       0.108578528,     0.08725523357,      0.4565884991,                 0,       3.415544745,    0.001230239262
          28,      -4.005820011,      -3.893094564,      -4.013473061,      -3.324998328,      -10.32489442,        0.12604977,      0.4562249093,                 0,                 0,                 0,      0.1102400637,      0.0817422421,      0.4662058754,                 0,        3.61940295,    0.001230239262
          29,      -3.986129588,      -3.891944843,       -4.01036267,      -3.303499581,      -10.34508199,      0.1223037074,      0.4696295218,                 0,                 0,                 0,      0.1131181717,     0.07672865047,      0.4791897315,                 0,       3.839863335,    0.001230239262
          30,      -3.966446093,      -3.881647343,      -4.005572257,      -3.280756584,      -10.36314538,      0.1194992009,      0.4860766561,                 0,                 0,                 0,      0.1171465057,     0.07236066742,      0.4952923464,                 0,        4.06761428,    0.001230239262
          31,      -3.947723855,      -3.863038596,      -3.999857731,      -3.258195585,      -10.37615716,      0.1177012029,      0.5051744395,                 0,                 0,                 0,      0.1222050212,     0.06874050559,      0.5141298769,                 0,       4.292007448,    0.001230239262
          32,      -3.930985702,      -3.838493596,      -3.994360266,      -3.237357932,      -10.38151738,      0.1169072414,      0.5264392965,                 0,                 0,                 0,      0.1281328249,     0.06591205315,      0.5352207369,                 0,       4.503051223,    0.001230239262
          33,      -3.917038805,        -3.8109455,       -3.99027562,      -3.219485778,        -10.381857,      0.1170465466,      0.5493344011,                 0,                 0,                 0,      0.1347403744,     0.06385631848,      0.5580237888,                 0,       4.693298666,    0.001230239262
          34,      -3.906299512,      -3.783030169,       -3.98856297,       -3.20527562,      -10.37890017,      0.1179907252,      0.5733078443,                 0,                 0,                 0,      0.1418238752,     0.06249839757,      0.5819773585,                 0,       4.858922964,    0.001230239262
          35,      -3.898738658,      -3.756710686,      -3.989748407,      -3.194834056,      -10.37403044,      0.1195660402,      0.5978082573,                 0,                 0,                 0,      0.1491666165,     0.06171819954,      0.6065159638,                 0,       4.999816474,    0.001230239262
          36,      -3.893965436,       -3.73328222,      -3.993881536,       -3.18782295,      -10.37083106,      0.1215745173,       0.622308888,                 0,                 0,                 0,      0.1565506217,      0.0613691487,      0.6310963024,                 0,       5.118744468,    0.001230239262
          37,       -3.89133715,      -3.713561325,       -4.00053363,       -3.18362601,      -10.36655572,      0.1238109033,       0.646316005,                 0,                 0,                 0,      0.1637604067,      0.0612942586,      0.6552072435,                 0,       5.220186492,    0.001230239262
          38,      -3.890055819,      -3.698083309,      -4.008791487,      -3.181480475,      -10.35800438,      0.1260772868,      0.6693779162,                 0,                 0,                 0,       0.170589194,     0.06133982185,      0.6783802055,                 0,       5.309266509,    0.001230239262
          39,      -3.889250688,      -3.687256002,      -4.017253298,      -3.180584388,      -10.34413869,      0.1281946836,      0.6910927464,                 0,                 0,                 0,      0.1768456524,     0.06136619636,      0.7001980084,                 0,       5.390962613,    0.001230239262
          40,      -3.888058021,      -3.681451743,      -4.024131707,      -3.180181826,      -10.32743145,      0.1300134118,      0.7111244608,                 0,                 0,                 0,      0.1823661739,     0.06125659678,      0.7203118181,                 0,       5.469623871,    0.001230239262
          41,      -3.885706703,      -3.681053103,      -4.027553032,      -3.179623039,      -10.31050057,      0.1314186498,      0.7292171139,                 0,                 0,                 0,      0.1870250108,     0.06092126136,      0.7384558624,                 0,       5.548809968,    0.001230239262
          42,      -3.881620614,      -3.686451554,      -4.026013806,      -3.178409623,      -10.29568335,      0.1323303969,       0.745200689,                 0,                 0,                 0,      0.1907373692,     0.06029685318,      0.7544532393,                 0,       5.631364422,    0.001230239262
          43,       -3.87550073,      -3.698008986,      -4.018815566,      -3.176200132,      -10.28369274,      0.1327036156,      0.7590031596,                 0,                 0,                 0,       0.193466451,     0.05934544546,      0.7682279375,                 0,       5.719536399,    0.001230239262
          44,      -3.867371058,      -3.715982779,      -4.006246511,      -3.172796696,      -10.27462401,      0.1325243202,      0.7706511598,                 0,                 0,                 0,      0.1952226234,     0.05805056414,      0.7798051279,                 0,       5.815167803,    0.001230239262
          45,       -3.85756561,      -3.740378936,       -3.98941077,      -3.168124656,       -10.2684067,      0.1318066315,      0.7802715714,                 0,                 0,                 0,      0.1960646085,     0.05641410393,      0.7893124617,                 0,       5.919820292,    0.001230239262
          46,      -3.846662359,       -3.77070577,      -3.969849745,      -3.162228151,       -10.2650048,      0.1305851627,      0.7880659196,                 0,                 0,                 0,      0.1960820619,     0.05445120342,      0.7969538537,                 0,       6.034881018,    0.001230239262
          47,      -3.835383757,      -3.805542727,      -3.949187411,      -3.155273361,      -10.26432121,       0.128911393,      0.7943033492,                 0,                 0,                 0,      0.1953938501,     0.05218730827,      0.8030021436,                 0,       6.161622575,    0.001230239262
          48,      -3.824496934,      -3.841884091,      -3.928911377,      -3.147554456,      -10.26647956,      0.1268483958,      0.7992984485,                 0,                 0,                 0,      0.1941365695,      0.0496550497,      0.8077765169,                 0,       6.301210537,    0.001230239262
          49,      -3.814736934,      -3.874524976,      -3.910297325,       -3.13948922,      -10.27190915,      0.1244666564,      0.8033910963,                 0,                 0,                 0,      0.1924555512,     0.04689201241,      0.8116220434,                 0,       6.454669223,    0.001230239262
          50,      -3.806758625,      -3.896407493,      -3.894388729,      -3.131590036,      -10.28071492,      0.1218404062,       0.806927539,                 0,                 0,                 0,      0.1904965114,     0.04393889996,      0.8148904901,                 0,       6.622823774,    0.001230239262
          51,      -3.801117404,      -3.901296635,       -3.88201493,      -3.124423511,       -10.2923763,       0.119044304,      0.8102430598,                 0,                 0,                 0,      0.1883981034,     0.04083789185,      0.8179227523,                 0,       6.806231231,    0.001230239262
          52,       -3.79826359,      -3.887810926,      -3.873819601,      -3.118561275,      -10.30704764,      0.1161516007,      0.8136519889,                 0,                 0,                 0,       0.186289241,     0.03763177456,      0.8210387342,                 0,       7.005086321,    0.001230239262
          53,      -3.798544284,      -3.860480906,      -3.870293452,      -3.114538253,      -10.32426287,      0.1132314406,       0.817436474,                 0,                 0,                 0,      0.1842836857,     0.03436233157,      0.8245259112,                 0,       7.219165183,    0.001230239262
          54,      -3.802207409,      -3.826403122,      -3.871802715,      -3.112824096,      -10.34335568,      0.1103468682,      0.8218396529,                 0,                 0,                 0,       0.182477316,     0.03106901316,      0.8286323448,                 0,        7.44778412,    0.001230239262
          55,      -3.809399948,      -3.791646278,      -3.878612291,      -3.113804829,      -10.36279259,      0.1075541784,      0.8270657255,                 0,                 0,                 0,      0.1809495195,     0.02778828342,      0.8335666901,                 0,       7.689759134,    0.001230239262
          56,      -3.820160816,      -3.760063574,      -3.890893814,      -3.117775333,      -10.37958794,      0.1049013286,      0.8332776209,                 0,                 0,                 0,      0.1797613919,     0.02455226302,      0.8394957228,                 0,       7.943442017,    0.001230239262
          57,      -3.834396083,       -3.73368325,      -3.908713664,      -3.124926708,      -10.39281971,      0.1024248441,      0.8405863839,                 0,                 0,                 0,      0.1789501372,     0.02138666591,      0.8465334772,                 0,       8.206860272,    0.001835549828
          58,      -3.851848588,      -3.713412761,       -3.93198723,      -3.135338521,      -10.39990672,       0.100151815,      0.8490626739,                 0,                 0,                 0,      0.1785369586,     0.01831168504,      0.8547528838,                 0,       8.477756229,    0.001835549828
          59,      -3.872050478,      -3.699554912,      -3.960377474,      -3.148958148,      -10.39821579,     0.09809800643,      0.8587276122,                 0,                 0,                 0,      0.1785225865,     0.01534098846,      0.8641764779,                 0,       8.753772309,    0.001835549828
          60,      -3.894269073,      -3.692112902,      -3.993122349,      -3.165569966,      -10.38855122,     0.09626863313,      0.8695555408,                 0,                 0,                 0,      0.1788893897,     0.01248222628,      0.8747792191,                 0,       9.032594652,    0.001835549828
          61,      -3.917466288,      -3.690948099,       -4.02877259,      -3.184755607,      -10.37505374,     0.09465844627,      0.8814728641,                 0,                 0,                 0,      0.1796016842,    0.009737227576,      0.8864873479,                 0,       9.312141693,    0.001835549828
          62,      -3.940298827,      -3.695848053,      -4.064882996,      -3.205844514,      -10.36078415,     0.09325406146,      0.8943670265,                 0,                 0,                 0,      0.1806108349,    0.007103457571,      0.8991875439,                 0,       9.590649593,    0.001835549828
          63,      -3.961220733,      -3.706550879,       -4.09786378,      -3.227879875,      -10.34876578,     0.09203443968,       0.908087273,                 0,                 0,                 0,      0.1818554851,    0.004574423336,      0.9127277295,                 0,       9.866820249,    0.001835549828
          64,      -3.978743123,      -3.722738743,      -4.123425063,        -3.2496443,      -10.34111227,     0.09097331063,      0.9224547944,                 0,                 0,                 0,      0.1832664007,     0.00214111362,      0.9269274009,                 0,       10.13983978,    0.001835549828
          65,      -3.991779777,       -3.74400681,      -4.137989538,       -3.26975029,       -10.3385365,      0.0900404788,      0.9372673004,                 0,                 0,                 0,      0.1847687016,  -0.0002071394225,      0.9415823051,                 0,       10.40939934,    0.001835549828
          66,      -4.000005563,       -3.76981863,      -4.140516802,      -3.286884456,      -10.34273652,     0.08920656362,      0.9523196014,                 0,                 0,                 0,      0.1862919378,   -0.002479914547,      0.9564853811,                 0,       10.67544318,    0.001835549828
          67,      -4.003982797,      -3.799446018,      -4.133161263,      -3.300125239,      -10.35326164,     0.08844083698,      0.9673951451,                 0,                 0,                 0,      0.1877643875,   -0.004687042761,      0.9714181284,                 0,       10.93833096,    0.001835549828
          68,      -4.004997511,      -3.831899484,      -4.120071284,      -3.309232299,      -10.36990466,     0.08771972905,      0.9823052142,                 0,                 0,                 0,      0.1891315128,   -0.006833897635,      0.9861904393,                 0,       11.19822444,    0.001835549828
          69,      -4.004757953,      -3.865876279,      -4.105546689,      -3.314811338,      -10.39280066,     0.08701812177,      0.9968515563,                 0,                 0,                 0,      0.1903348848,   -0.008926479966,       1.000602567,                 0,       11.45567769,    0.001835549828
          70,      -4.004897682,      -3.899780594,      -4.092970322,      -3.318016841,      -10.42199162,     0.08632543669,       1.010897442,                 0,                 0,                 0,      0.1913469576,    -0.01096221458,       1.014517398,                 0,       11.71030789,    0.001835549828
          71,      -4.006856117,      -3.931866872,      -4.084592816,      -3.320360465,      -10.45606466,     0.08562765247,       1.024289647,                 0,                 0,                 0,      0.1921291883,    -0.01294037222,       1.027781067,                 0,       11.96213626,    0.001835549828
          72,      -4.011767927,      -3.960541813,      -4.081751864,      -3.323389954,      -10.49226757,     0.08492707013,       1.036947299,                 0,                 0,                 0,      0.1926755296,    -0.01485091148,       1.040313299,                 0,       12.20985603,    0.001835549828
          73,      -4.020384376,       -3.98475272,      -4.085214388,      -3.328377054,      -10.52825411,     0.08422307518,       1.048778289,                 0,                 0,                 0,      0.1929685578,    -0.01668561551,       1.052022346,                 0,       12.45238656,    0.001835549828
          74,      -4.033198129,      -4.004301609,      -4.095380943,      -3.336339947,      -10.56126015,     0.08353040041,       1.059761886,                 0,                 0,                 0,      0.1930196947,    -0.01842783243,       1.062888987,                 0,       12.68714002,    0.001835549828
          75,      -4.050480867,      -4.019896518,      -4.112436634,      -3.348028494,      -10.58832752,     0.08285861802,       1.069859718,                 0,                 0,                 0,      0.1928242797,    -0.02006435637,       1.072875943,                 0,       12.91187016,    0.001835549828
          76,      -4.072312095,      -4.032888188,      -4.136465673,      -3.363944257,      -10.60739345,     0.08223072604,       1.079098651,                 0,                 0,                 0,      0.1924026489,    -0.02157487013,        1.08201216,                 0,       13.12281555,    0.001835549828
          77,      -4.098581432,       -4.04483612,      -4.167383264,      -3.384382245,      -10.61803173,     0.08166114281,       1.087476458,                 0,                 0,                 0,      0.1917540434,    -0.02294480838,       1.090296806,                 0,       13.31693901,    0.001835549828
          78,      -4.128908369,      -4.057150701,      -4.204894377,      -3.409372667,       -10.6229123,     0.08117730538,       1.095057615,                 0,                 0,                 0,      0.1909046452,    -0.02415303999,       1.097796687,                 0,       13.48970146,    0.001835549828
          79,      -4.162531974,       -4.07092282,      -4.248398474,      -3.438615356,      -10.62598077,     0.08079344182,       1.101860605,                 0,                 0,                 0,      0.1898535165,    -0.02518717405,       1.104531566,                 0,       13.63799562,    0.002609630102
          80,      -4.198570846,      -4.086870408,      -4.296661864,      -3.471757476,      -10.63164509,     0.08053653749,       1.107973155,                 0,                 0,                 0,      0.1886295377,    -0.02602875752,       1.110591351,                 0,       13.75739744,    0.002609630102
          81,      -4.235705352,       -4.10533412,      -4.347501422,      -3.508007704,      -10.64205132,     0.08041434184,       1.113412791,                 0,                 0,                 0,       0.187225183,    -0.02667175667,       1.115994233,                 0,       13.84594794,    0.002609630102
          82,      -4.271871574,      -4.126285021,      -4.397502047,      -3.545773082,      -10.65371899,     0.08044920614,       1.118279223,                 0,                 0,                 0,      0.1856710818,     -0.0271034797,       1.120841602,                 0,       13.90043826,    0.002609630102
          83,      -4.304753922,      -4.149436439,      -4.442051022,      -3.582921723,      -10.66644244,     0.08063923975,       1.122580727,                 0,                 0,                 0,      0.1839538051,    -0.02732660186,       1.125141517,                 0,       13.92102319,    0.002609630102
          84,      -4.332690608,       -4.17435781,      -4.476443721,      -3.617368568,      -10.68071945,     0.08099614292,       1.126404926,                 0,                 0,                 0,      0.1820984937,      -0.027337875,       1.128982317,                 0,       13.90689587,    0.002609630102
          85,      -4.354554551,      -4.200501421,      -4.498188055,      -3.646832943,      -10.69772599,     0.08151342026,       1.129773261,                 0,                 0,                 0,      0.1801007075,    -0.02714581971,       1.132384724,                 0,       13.85996634,    0.002609630102
          86,      -4.370528296,      -4.227124888,      -4.508521136,      -3.669903386,      -10.71780752,     0.08218725147,       1.132735679,                 0,                 0,                 0,      0.1779719225,    -0.02675902591,       1.135398088,                 0,       13.78237694,    0.002609630102
          87,      -4.382448763,      -4.253486221,      -4.511459675,      -3.687087555,      -10.74026246,     0.08301092178,       1.135342631,                 0,                 0,                 0,      0.1757270111,    -0.02618901292,       1.138071983,                 0,       13.67702716,    0.002609630102
          88,      -4.392565554,       -4.27897502,      -4.511568555,      -3.700062279,      -10.76503246,     0.08396436672,       1.137595312,                 0,                 0,                 0,      0.1733612818,    -0.02545586728,       1.140405676,                 0,        13.5485487,    0.002609630102
          89,      -4.402498644,      -4.303179593,      -4.512564153,      -3.710393411,      -10.79117442,     0.08504149344,         1.1395675,                 0,                 0,                 0,      0.1709073588,    -0.02457272528,       1.142472023,                 0,       13.40013508,    0.002609630102
          90,      -4.413430781,      -4.325861392,      -4.517049138,      -3.719671227,      -10.81705576,     0.08621312124,        1.14123373,                 0,                 0,                 0,      0.1683556683,    -0.02356619254,       1.144242878,                 0,       13.23735545,    0.002609630102
          91,      -4.426115796,      -4.346965501,      -4.526726478,      -3.729193896,      -10.84056117,     0.08746782086,        1.14265239,                 0,                 0,                 0,      0.1657383259,    -0.02245324184,       1.145775264,                 0,       13.06368878,    0.002609630102
          92,      -4.442238419,      -4.366345444,      -4.542282534,      -3.741488979,      -10.85718834,     0.08878191019,       1.143826296,                 0,                 0,                 0,      0.1630647558,    -0.02125771621,       1.147069716,                 0,       12.88355132,    0.002609630102
          93,       -4.46207906,       -4.38385384,      -4.563551262,      -3.757441355,      -10.86656919,     0.09013267804,       1.144759452,                 0,                 0,                 0,      0.1603470682,    -0.02000260603,       1.148128041,                 0,        12.7008259,    0.002609630102
          94,      -4.484783965,       -4.39972442,      -4.590159117,      -3.776601712,       -10.8702101,     0.09150812029,       1.145502151,                 0,                 0,                 0,      0.1576193541,    -0.01870468058,       1.148999151,                 0,       12.51803826,    0.002609630102
          95,       -4.50895113,      -4.414241107,      -4.621167842,      -3.797811793,      -10.87010535,     0.09288013163,       1.146021799,                 0,                 0,                 0,      0.1548795534,    -0.01738879182,       1.149647908,                 0,       12.33871851,    0.002609630102
          96,      -4.533574968,      -4.427672201,       -4.65532023,      -3.820409904,      -10.86825329,     0.09423936539,       1.146365478,                 0,                 0,                 0,      0.1521610524,    -0.01606875588,       1.150120282,                 0,       12.16440151,    0.002609630102
          97,      -4.557843673,      -4.440261668,      -4.691108956,      -3.843849242,      -10.86513199,      0.0955648929,       1.146515806,                 0,                 0,                 0,      0.1494684242,     -0.0147637391,       1.150396964,                 0,        11.9972489,    0.002609630102
          98,      -4.580496745,      -4.451971655,      -4.726256674,      -3.867000097,      -10.86179796,     0.09683929475,       1.146460557,                 0,                 0,                 0,      0.1468080786,    -0.01348990895,       1.150464115,                 0,       11.83879498,    0.002609630102
          99,      -4.601141266,      -4.462916526,      -4.757606997,      -3.889472093,      -10.85980864,     0.09805445798,       1.146221813,                 0,                 0,                 0,       0.144199833,    -0.01225745754,       1.150342939,                 0,       11.68964509,    0.002609630102
         100,      -4.618370646,       -4.47374434,      -4.782644974,      -3.909501292,      -10.85986163,     0.09919068542,       1.145755685,                 0,                 0,                 0,      0.1416344439,    -0.01108178462,       1.149987859,                 0,       11.55104111,    0.003416809165
         101,      -4.632744031,      -4.485139475,      -4.800462897,       -3.92716376,      -10.86133274,      0.1002447789,       1.145087016,                 0,                 0,                 0,      0.1391303085,   -0.009968454909,       1.149423298,                 0,       11.42290929,    0.003416809165
         102,      -4.644935973,       -4.49712359,      -4.811285917,      -3.942661125,      -10.86329406,      0.1012055886,       1.144194338,                 0,                 0,                 0,      0.1366849487,    -0.00892650926,        1.14862682,                 0,       11.30564383,    0.003416809165
